,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,Y_0,Z_0,VBur_0,Mulliken_charge_0,APT_charge_0,NPA_charge_0,NPA_core_0,NPA_valence_0,NPA_Rydberg_0,NPA_total_0,NMR_shift_0,NMR_anisotropy_0,ES_root_Mulliken_charge_0,ES_root_NPA_charge_0,ES_root_NPA_core_0,ES_root_NPA_valence_0,ES_root_NPA_Rydberg_0,ES_root_NPA_total_0,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0
Cl[Mg]C[Si](C)(C)C,18,0,1,5.5273,146.9744,1123.948,2158.4551,-1108.90817096,0.138977,0.151385,0.152329,0.099228,-1108.807259,-1108.794851,-1108.793907,-1108.847008,C4H11ClMgSi,1.0,-0.25296,-0.04408,0.14852,0.10444,8.8531,963.384,2190.9318,1.647037,-0.563909,-0.000275,0.4643643801132788,0.514580,1.054446,1.32336,9.99818,0.66035,0.01812,10.67664,518.067,296.7494,0.068876,0.92091,9.99547,1.04659,0.03703,11.07909,237.39,216.16,215.38,210.93,210.85,207.69,203.97,187.4,182.62,182.23,0.3557,0.0089,0.0096,0.0689,0.0785,0.0534,0.0033,0.0167,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Cl[Mg]c1ccc(cc1)C,16,0,1,4.0151,150.8903,890.223,2902.7708,-931.305264088,0.118596,0.127446,0.12839,0.082633,-931.198098,-931.189248,-931.188304,-931.234061,C7H7ClMg,1.0,-0.23848,-0.04625,0.142365,0.096115,15.2781,1609.25,2764.1063,-2.079319,-0.003661,-0.000174,0.43730333543108874,0.467247,1.162809,1.31727,9.99786,0.66754,0.01733,10.68273,530.8378,255.4319,-0.044324,0.68975,9.99838,1.28534,0.02653,11.31025,281.33,265.57,241.9,233.53,232.17,230.65,223.16,221.23,214.73,212.52,0.012,0.0,0.0022,0.0917,0.0,0.561,0.017,0.002,0.0126,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Cl[Mg]c1ccccc1,13,0,1,3.6027,136.8635,1312.827,2197.9496,-891.988179446,0.091158,0.098992,0.099936,0.05665,-891.907173,-891.89934,-891.898396,-891.941682,C6H5ClMg,1.0,-0.24871,-0.04803,0.14837,0.10033999999999998,13.8339,1120.706,2063.1717,-1.553859,-3.6e-05,-0.00014,0.4375393329137823,0.471227,1.148777,1.31929,9.99789,0.66558,0.01725,10.68071,531.5848,255.114,-0.033278,0.69308,9.99844,1.28227,0.02621,11.30692,268.87,264.76,239.62,230.66,224.45,224.03,223.16,220.4,214.71,212.94,0.0126,0.0,0.0036,0.2714,0.0182,0.2724,0.0,0.0012,0.0138,0.0655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Cn1c([Li])cc2c1cccc2,19,0,1,8.2851,137.1089,1299.047,1428.3214,-410.015131882,0.146729,0.156285,0.157229,0.111424,-409.884793,-409.875237,-409.874293,-409.920098,C9H8LiN,1.0,-0.1612,-0.0543,0.10775000000000001,0.053450000000000004,10.8892,1299.047,1519.5773,3.703987,-1.611082,0.000392,0.368942731277533,0.349227,0.728912,0.80629,1.99784,0.19116,0.00471,2.19371,90.5382,15.6958,-0.236445,-0.05187,1.99792,1.05097,0.00297,3.05187,574.79,430.54,343.41,341.41,334.41,296.79,288.14,280.71,263.54,252.64,0.0086,0.0013,0.0002,0.0039,0.2674,0.109,0.0,0.0012,0.0314,0.0539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
Cn1cccc1[Li],13,0,1,6.3506,87.0491,982.172,580.2626,-256.367199437,0.099431,0.105691,0.106635,0.069245,-256.278364,-256.272104,-256.27116,-256.30855,C5H6LiN,1.0,-0.15713,-0.04701,0.10207,0.05506,12.9414,1091.302,643.8017,0.108853,2.929062,-8.4e-05,0.36548143486469475,0.303509,0.678614,0.78308,1.99781,0.21386,0.00525,2.21692,90.5874,15.0392,-0.409812,-0.62682,2.00451,1.61610,0.00621,3.62682,576.82,398.61,353.52,340.49,319.61,273.58,273.34,256.83,252.1,242.45,0.0115,0.0009,0.0286,0.0001,0.2121,0.0001,0.0092,0.0604,0.0918,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
I[Mg]c1ccc(cc1)C,16,0,1,4.0072,242.3418,1148.227,3373.8478,-482.486741134,0.118185,0.127278,0.128222,0.080294,-482.377909,-482.368816,-482.367872,-482.4158,C7H7IMg,1.0,-0.23848,-0.04955,0.144015,0.094465,15.4427,1333.425,3181.4684,-0.553539,-0.005045,-0.000303,0.45185651353052236,0.365419,1.108022,1.19251,9.99789,0.78414,0.02547,10.80749,510.009,287.0086,-0.075188,0.58488,9.99855,1.38096,0.03561,11.41512,286.48,269.81,255.62,255.52,244.94,241.37,240.79,236.52,230.96,229.43,0.0065,0.0,0.0443,0.0392,0.002,0.0,0.0225,0.7227,0.0203,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
OB(c1ccccc1)O,16,0,1,1.4669,121.9301,1101.284,1288.8561,-408.220289381,0.12493,0.132824,0.133768,0.09208,-408.13402,-408.126127,-408.125183,-408.166871,C6H7BO2,1.0,-0.23814,-0.01507,0.126605,0.111535,1.1535,943.958,1266.0501,-1.734943,-0.0,-2.6e-05,0.5541220893643801,0.364925,1.288962,1.13852,1.99921,1.83644,0.02583,3.86148,85.3845,17.6213,0.306311,1.03573,1.99924,1.93855,0.02648,3.96427,239.16,213.25,180.87,180.44,178.76,178.57,177.84,173.9,164.85,162.59,0.0103,0.1626,0.2799,0.0007,0.0041,0.0,0.6236,0.0,0.0,0.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
[Li]C,5,0,1,4.9988,21.9747,447.763,69.8236,-47.399794567,0.033763,0.037228,0.038172,0.011592,-47.367357,-47.363892,-47.362948,-47.389528,CH3Li,1.0,-0.1693,-0.04299,0.106145,0.063155,5.0897,597.017,93.8472,-1.589829,-2e-06,-1e-06,0.3322844556324733,0.345498,0.608291,0.75143,1.99928,0.24592,0.00336,2.24857,90.3659,21.8123,0.088728,0.19249,1.99682,0.80167,0.00902,2.80751,446.86,313.47,313.44,252.89,192.07,192.07,178.7,175.0,175.0,156.01,0.1043,0.0971,0.0972,0.0059,0.015,0.015,0.0147,0.0261,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]C1=CCCCC1,16,0,1,5.5256,88.0771,967.131,643.6891,-241.529252987,0.135465,0.142227,0.143171,0.105218,-241.402508,-241.395746,-241.394802,-241.432754,C6H9Li,1.0,-0.17242,-0.04331,0.10786499999999999,0.064555,7.6778,1353.983,678.3919,3.079299,-0.091054,0.04641,0.3853052234109503,0.206846,0.601362,0.75777,1.99622,0.24051,0.00550,2.24223,89.9081,13.9204,-0.224396,0.05081,1.99460,0.95000,0.00458,2.94919,479.86,349.36,294.76,273.93,244.97,232.26,229.41,225.91,211.33,197.95,0.0229,0.0156,0.0317,0.0828,0.0079,0.0262,0.032,0.1065,0.0457,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]C1CC1,9,0,1,5.4691,48.0125,538.279,205.2929,-124.745045353,0.069966,0.074639,0.075584,0.043499,-124.708221,-124.703547,-124.702603,-124.734687,C3H5Li,1.0,-0.16697,-0.04645,0.10671,0.06026000000000001,6.9576,794.603,250.1262,2.371339,-0.000113,-0.431608,0.3536815607300189,0.365132,0.642629,0.80053,1.99878,0.19604,0.00465,2.19947,91.3837,21.4344,-0.031718,0.09384,1.99593,0.90421,0.00603,2.90616,489.65,328.18,324.36,307.8,264.94,236.81,228.09,221.32,202.76,201.87,0.0818,0.0555,0.0595,0.0002,0.0044,0.0005,0.0019,0.0639,0.0289,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li][Zn](c1ccccc1)(C)(C)(C)[Li],26,0,1,7.9081,201.4696,1458.012,2357.4478,-2145.38713242,0.197519,0.214773,0.215718,0.152178,-2145.398074,-2145.380819,-2145.379875,-2145.443414,C9H14Li2Zn,1.0,-0.20855,-0.03022,0.119385,0.08916500000000001,2.362,1631.585,2520.8109,1.358398,0.000963,-0.61899,0.7293895531780994,0.661259,0.869331,1.07729,17.99210,10.92400,0.00661,28.92271,1587.8789,528.6488,0.623898,0.99011,17.99102,11.00952,0.00935,29.00989,307.57,295.95,295.49,281.48,261.07,260.51,250.85,247.84,242.26,237.74,0.0121,0.0108,0.0001,0.0017,0.0132,0.0802,0.0228,0.0035,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
[Li]c1ccc(cc1)O[Si](C)(C)C,25,0,1,5.779,172.2266,1687.749,2688.741,-723.064629343,0.195573,0.209586,0.21053,0.155055,-722.87741,-722.863397,-722.862453,-722.917928,C9H13LiOSi,1.0,-0.17962,-0.0495,0.11456,0.06506,13.737,1620.239,2835.4967,5.48421,-0.680715,0.000109,0.3596601636249213,0.360855,0.686131,0.79351,1.99863,0.20166,0.00620,2.20649,90.8337,15.7633,-0.299712,-0.05976,1.99879,1.05821,0.00276,3.05976,439.43,406.68,336.97,288.67,287.77,285.75,281.66,252.05,248.91,242.61,0.0098,0.1099,0.0,0.0,0.0315,0.0732,0.2511,0.0039,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]c1ccc2c(c1)n(C)cc2,19,0,1,6.0991,137.1089,1089.401,1445.9383,-410.002173319,0.146442,0.155218,0.156162,0.112529,-409.869177,-409.860401,-409.859457,-409.903089,C9H8LiN,1.0,-0.16274,-0.04816,0.10545,0.057289999999999994,15.1007,1409.813,1548.6209,3.702674,2.09893,7e-06,0.36107614852108244,0.356229,0.681543,0.78899,1.99863,0.20596,0.00642,2.21101,90.6167,16.0114,-0.328904,-0.08776,1.99874,1.08612,0.00290,3.08776,496.67,428.08,421.25,312.55,311.65,295.24,294.37,286.75,285.18,274.01,0.0059,0.003,0.1098,0.0002,0.1129,0.0674,0.0333,0.1371,0.0023,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]c1cccc(c1)O[Si](C(C)(C)C)(C)C,34,0,1,5.379,214.307,2024.824,4150.078,-840.997873139,0.281236,0.299146,0.30009,0.236221,-840.724423,-840.706514,-840.705569,-840.769439,C12H19LiOSi,1.0,-0.18326,-0.05014,0.1167,0.06656000000000001,14.3415,2330.458,4242.9579,-4.972852,2.745886,0.002685,0.35989616110761485,0.379193,0.685352,0.80241,1.99869,0.19284,0.00606,2.19759,90.9497,15.7259,-0.344655,-0.11280,1.99868,1.11044,0.00368,3.11280,413.31,411.69,360.77,291.79,289.0,281.88,277.92,252.17,251.33,244.23,0.0024,0.106,0.0095,0.066,0.0274,0.0282,0.0016,0.0004,0.1591,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]c1cccc2c1cccc2,18,0,1,6.0706,134.1053,862.721,1379.6227,-392.777683525,0.136149,0.144554,0.145498,0.10267,-392.648414,-392.640009,-392.639065,-392.681893,C10H7Li,1.0,-0.17925,-0.05204,0.115645,0.063605,11.5211,1386.516,1453.9947,-1.667821,3.175404,6e-05,0.3865638766519824,0.378874,0.681403,0.80045,1.99870,0.19563,0.00523,2.19955,90.2395,15.5142,-0.347081,-0.09779,1.99866,1.09673,0.00240,3.09779,445.41,394.16,335.54,299.63,299.08,292.86,281.45,277.43,276.72,276.28,0.0041,0.1033,0.0,0.0971,0.0268,0.0026,0.0039,0.0025,0.0213,0.0499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]c1ccccc1,12,0,1,6.1262,84.0455,646.145,546.6813,-239.135418043,0.089379,0.095275,0.09622,0.0598,-239.049061,-239.043165,-239.042221,-239.078641,C6H5Li,1.0,-0.18882,-0.05062,0.11972,0.0691,6.8321,983.264,599.0254,3.253486,8.1e-05,8.1e-05,0.3596601636249213,0.370801,0.678885,0.79718,1.99869,0.19796,0.00618,2.20282,90.9449,14.992,-0.017662,0.12688,1.99572,0.87479,0.00261,2.87312,413.47,374.96,345.41,292.23,291.16,259.39,254.28,253.05,246.82,246.73,0.0939,0.0127,0.0,0.072,0.0336,0.0,0.1792,0.0017,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]c1ccccc1C,15,0,1,6.0173,98.0723,1085.604,795.6915,-278.452423728,0.116725,0.124475,0.125419,0.083745,-278.33896,-278.33121,-278.330266,-278.37194,C7H7Li,1.0,-0.18818,-0.04989,0.11903499999999999,0.069145,6.812,742.782,846.5616,1.605109,2.627814,-6e-06,0.3879798615481435,0.350328,0.669141,0.78843,1.99877,0.20728,0.00552,2.21157,90.9285,14.4871,-0.023499,0.11820,1.99576,0.88375,0.00229,2.88180,411.26,386.24,352.12,301.44,287.94,271.93,264.08,261.25,249.22,244.77,0.099,0.0067,0.0033,0.0705,0.0405,0.0613,0.0006,0.0711,0.0005,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
Br[Mg]c1ccc(cc1)N(c1ccccc1)c1ccccc1,35,0,1,5.0908,348.5243,2594.715,11871.4231,-3520.9230661,0.2692,0.287643,0.288587,0.218023,-3520.696447,-3520.678004,-3520.67706,-3520.747624,C18H14BrMgN,1.0,-0.18443,-0.0435,0.11396500000000001,0.070465,24.644,2385.464,13307.5519,4.222607,-0.000679,-0.000102,0.446821900566394,0.427996,1.165551,1.24507,9.99786,0.74108,0.01598,10.75493,516.6977,277.4525,-0.162903,0.59184,9.99813,1.37918,0.03085,11.40816,374.32,333.36,314.69,300.98,299.65,276.62,275.09,265.27,260.03,248.22,0.0021,0.4178,0.0132,0.2327,0.0046,0.0086,0.0224,0.0734,0.0004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]c1ccc2c(c1)cccc2,19,0,1,3.4759,231.3743,1640.452,5891.647,-3157.14287921,0.137989,0.148428,0.149372,0.098919,-3157.022283,-3157.011844,-3157.0109,-3157.061353,C10H7BrMg,1.0,-0.21425,-0.04579,0.13002,0.08423,17.4739,1421.725,5514.2336,-2.03239,0.124278,0.000151,0.44532724984266836,0.442130,1.133974,1.25155,9.99791,0.73487,0.01566,10.74845,518.0668,278.8136,-0.131037,0.60049,9.99823,1.37198,0.02931,11.39951,317.3,295.07,279.92,268.68,260.52,245.38,241.64,232.31,228.15,227.9,0.0028,0.0334,0.0198,0.0056,0.0001,0.0044,0.2849,0.9087,0.0399,0.0409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
CC(C[Al](C=C(C)C)CC(C)C)C,38,0,1,1.5121,196.311,2434.898,4369.8787,-714.747394968,0.342119,0.361515,0.362459,0.292493,-714.435042,-714.415646,-714.414702,-714.484667,C12H25Al,1.0,-0.23609,-0.03288,0.134485,0.101605,4.9627,2340.032,4461.2349,-0.086855,-0.075965,-0.321937,0.6685808684707363,0.570810,1.332041,1.79065,9.99755,1.19317,0.01863,11.20935,338.098,89.1495,0.183323,1.20047,9.99589,1.78404,0.01960,11.79953,271.89,257.07,236.12,188.41,184.74,182.6,182.4,180.14,178.73,178.25,0.0044,0.0002,0.2829,0.0824,0.0559,0.0038,0.0031,0.0334,0.0243,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC(C[Al](c1ccc(c(c1)C)C)CC(C)C)C,44,0,1,1.4745,246.3708,2255.976,6545.3994,-868.406021265,0.389757,0.411787,0.412731,0.335473,-868.044913,-868.022882,-868.021938,-868.099197,C16H27Al,1.0,-0.22955,-0.03324,0.131395,0.098155,5.7822,3213.057,6879.8832,0.986945,-0.094805,-0.038552,0.6821900566393958,0.527869,1.409053,1.83292,9.99759,1.14969,0.01980,11.16708,331.6796,70.8681,0.181832,1.26253,9.99588,1.72319,0.01840,11.73747,267.1,262.68,255.15,248.77,211.67,205.12,199.99,197.35,191.6,191.08,0.0043,0.0235,0.0012,0.2864,0.0255,0.0003,0.0,0.0677,0.0044,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC(C[Al](c1ccc(cc1)C(F)(F)F)CC(C)C)C,41,0,1,3.3702,286.3155,2427.23,8240.4077,-1126.80394128,0.338996,0.361336,0.36228,0.28291,-1126.497737,-1126.475397,-1126.474452,-1126.553823,C15H22AlF3,1.0,-0.2506,-0.05332,0.15195999999999998,0.09863999999999999,11.28,2256.298,9084.924,-1.662632,-0.090227,0.014181,0.6832127123977344,0.547256,1.405996,1.84140,9.99762,1.14131,0.01967,11.15860,330.7316,69.577,0.258157,1.36210,9.99588,1.62299,0.01903,11.63790,278.71,261.33,252.96,233.43,211.04,210.57,202.35,201.89,196.63,190.83,0.0008,0.0001,0.0115,0.3174,0.0002,0.0001,0.002,0.0135,0.0064,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC(C[Al](c1ccccc1C)CC(C)C)C,41,0,1,0.9156,232.344,2443.022,5579.0638,-829.097999022,0.362138,0.382406,0.38335,0.310623,-828.750406,-828.730138,-828.729194,-828.801921,C15H25Al,1.0,-0.23299,-0.03888,0.135935,0.097055,4.9277,1954.417,5569.1506,-0.211969,0.032855,-0.015179,0.7005191944619258,0.551644,1.351837,1.83902,9.99764,1.14298,0.02036,11.16098,331.5689,89.472,0.202772,1.26854,9.99622,1.71670,0.01855,11.73146,275.89,267.27,259.93,246.65,209.44,205.2,200.44,195.61,191.18,190.91,0.0232,0.0172,0.0026,0.1686,0.0693,0.0008,0.0013,0.0273,0.0087,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC1(C)COB(OC1)c1ccc(cc1)F,29,0,1,2.0615,208.0388,1274.401,4364.0933,-702.814077266,0.238857,0.252616,0.25356,0.198072,-702.614515,-702.600756,-702.599812,-702.6553,C11H14BFO2,1.0,-0.23379,-0.01444,0.124115,0.109675,3.015,1494.126,4413.4617,-0.409727,-1e-06,-0.276821,0.6620516047828823,0.435398,1.353490,1.13515,1.99902,1.83840,0.02743,3.86485,86.4649,15.4661,0.401246,1.05902,1.99904,1.91428,0.02766,3.94098,236.86,218.62,189.75,188.1,183.79,179.98,173.85,172.27,171.08,168.73,0.0002,0.3073,0.0042,0.0947,0.1931,0.711,0.0006,0.0043,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
CC1(C)COB(OC1)c1ccccc1,29,0,1,1.7611,190.0483,1342.412,3484.0425,-603.580124759,0.247072,0.259991,0.260935,0.207545,-603.371473,-603.358555,-603.357611,-603.411001,C11H15BO2,1.0,-0.23632,-0.01383,0.125075,0.111245,0.9582,1753.796,3535.2325,0.00879,0.0,-0.260717,0.6625235997482694,0.434362,1.340159,1.13591,1.99902,1.83773,0.02734,3.86409,86.127,15.8643,0.375885,1.02882,1.99904,1.94426,0.02788,3.97118,239.61,216.13,191.56,187.93,181.89,181.89,179.98,172.24,168.28,166.67,0.0085,0.2786,0.0001,0.0005,0.2807,0.016,0.7173,0.0001,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
CC1(OCCO1)c1ccc(cc1)[Zn](C)(C)(C)([Li])[Li],38,0,1,8.2852,287.5598,2518.286,6894.9932,-2451.8497561,0.299347,0.322613,0.323557,0.244867,-2451.766925,-2451.743659,-2451.742715,-2451.821405,C13H20Li2O2Zn,1.0,-0.20965,-0.01895,0.1143,0.09535,0.6665,2439.59,6940.0294,3.125055,-0.507328,0.262635,0.751101321585903,0.688216,0.907601,1.06348,17.99100,10.93883,0.00669,28.93652,1677.507,556.6449,0.746666,1.07651,17.99051,10.92342,0.00957,28.92349,287.84,283.07,271.39,271.05,268.78,261.24,248.03,246.18,243.64,237.23,0.0019,0.0007,0.0053,0.0013,0.0005,0.0028,0.008,0.0358,0.0158,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
CN(c1ccc(cc1)B1OCC(CO1)(C)C)C,37,0,1,3.2285,233.1165,2234.603,6609.1587,-737.543370996,0.320351,0.337764,0.338708,0.274683,-737.266579,-737.249167,-737.248222,-737.312247,C13H20BNO2,1.0,-0.18074,0.00469,0.088025,0.092715,2.4129,2282.148,6555.65,-1.218759,2.2e-05,-0.303008,0.6600062932662052,0.414587,1.498529,1.12927,1.99899,1.84451,0.02722,3.87073,86.0386,15.8979,0.411820,1.11237,1.99900,1.86171,0.02692,3.88763,261.73,260.44,209.9,190.61,189.61,184.51,184.29,180.46,178.31,176.4,0.0185,0.629,0.0845,0.0049,0.0111,0.0001,0.2824,0.018,0.4602,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
CN(c1ccc(cc1)[Zn](C)(C)(C)([Li])[Li])C,34,0,1,7.0946,244.5378,2232.629,4855.3942,-2279.34353711,0.271595,0.293112,0.294056,0.219757,-2279.288101,-2279.266584,-2279.26564,-2279.339939,C11H19Li2NZn,1.0,-0.19066,-0.01358,0.10212,0.08854,14.6145,2232.629,5011.4563,-2.410563,-0.570046,0.075792,0.749842668344871,0.679513,0.923610,1.06662,17.99101,10.93562,0.00675,28.93338,1667.3044,559.8076,0.706722,1.05857,17.98981,10.94280,0.00882,28.94143,294.74,290.73,286.52,281.95,270.67,269.19,258.83,250.95,246.3,242.65,0.0117,0.0064,0.02,0.0043,0.003,0.0,0.0375,0.0018,0.0112,0.0551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
COc1ccc(cc1)[Al](CC(C)C)CC(C)C,42,0,1,1.5815,248.3434,2984.318,6988.0341,-904.291636688,0.366969,0.388324,0.389268,0.313187,-903.955671,-903.934316,-903.933372,-904.009452,C15H25AlO,1.0,-0.21675,-0.03072,0.123735,0.093015,7.6852,2202.711,7027.3875,1.256407,0.058978,-0.011274,0.684550031466331,0.516359,1.413975,1.83026,9.99757,1.15306,0.01912,11.16974,334.2808,71.5172,0.196208,1.26556,9.99723,1.72070,0.01651,11.73444,269.04,264.6,251.87,249.14,219.73,208.25,206.99,200.74,199.24,187.4,0.2594,0.0653,0.0034,0.0004,0.0621,0.0004,0.0015,0.0201,0.0076,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
COc1cccc(c1)[Zn](C)(C)(C)([Li])[Li],30,0,1,7.3963,231.4958,2047.518,3708.6254,-2259.90338657,0.230655,0.2505,0.251444,0.180629,-2259.884618,-2259.864773,-2259.863829,-2259.934644,C10H16Li2OZn,1.0,-0.20733,-0.01695,0.11213999999999999,0.09519,2.6359,1668.348,3875.0381,1.762624,-0.777575,0.103652,0.7502359974826935,0.687619,0.896785,1.06977,17.99114,10.93246,0.00663,28.93023,1669.6129,566.3797,0.732069,1.07939,17.99068,10.92052,0.00941,28.92061,288.56,278.42,269.79,266.87,260.7,252.47,251.35,246.87,246.0,243.73,0.0026,0.0009,0.003,0.0012,0.0026,0.0022,0.0035,0.0154,0.0223,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
