,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,Y_0,Z_0,VBur_0,Mulliken_charge_0,APT_charge_0,NPA_charge_0,NPA_core_0,NPA_valence_0,NPA_Rydberg_0,NPA_total_0,NMR_shift_0,NMR_anisotropy_0,ES_root_Mulliken_charge_0,ES_root_NPA_charge_0,ES_root_NPA_core_0,ES_root_NPA_valence_0,ES_root_NPA_Rydberg_0,ES_root_NPA_total_0,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0
Cc1ccc(cc1)B1OCC(CO1)(C)C,32,0,1,1.8219,204.0751,1641.427,4495.6602,-642.898857755,0.274447,0.288414,0.289358,0.233519,-642.662371,-642.648403,-642.647459,-642.703298,C12H17BO2,1.0,-0.22686,-0.0114,0.11913,0.10773,0.8813,1826.376,4552.9426,-0.440691,-6.8e-05,-0.279536,0.6617369414726243,0.429616,1.385188,1.13495,1.99902,1.83872,0.02731,3.86505,86.149,15.7413,0.379427,1.03891,1.99904,1.93428,0.02777,3.96109,241.85,223.41,190.8,188.99,185.16,181.3,180.54,173.49,168.47,166.43,0.005,0.4014,0.0022,0.0882,0.1712,0.6933,0.0722,0.0003,0.0014,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
[Li][Zn](c1ccc(cc1)c1ccccc1)(C)(C)(C)[Li],36,0,1,8.3426,277.5672,1795.329,7447.0675,-2376.44020979,0.278842,0.300606,0.30155,0.227498,-2376.37445,-2376.352685,-2376.351741,-2376.425794,C15H18Li2Zn,1.0,-0.20805,-0.04101,0.12453,0.08352000000000001,6.1435,2296.351,7466.9906,-3.217794,0.250467,-0.535795,0.730412208936438,0.672100,0.931229,1.07534,17.99207,10.92603,0.00656,28.92466,1586.7591,513.1591,0.667769,1.02570,17.99125,10.97372,0.00933,28.97430,321.0,308.68,294.9,284.0,275.46,270.48,260.96,258.66,254.59,250.1,0.023,0.0824,0.0,0.0022,0.0911,0.0068,0.002,0.3885,0.0008,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
[Li][Zn](c1cccc2c1cccc2)(C)(C)(C)[Li],32,0,1,8.1559,251.5294,1811.413,3808.7152,-2299.02979775,0.2451,0.264864,0.265808,0.196499,-2299.000887,-2298.981122,-2298.980178,-2299.049487,C13H16Li2Zn,1.0,-0.19764,-0.06666,0.13215,0.06549,5.3976,2131.074,3987.9212,2.172716,0.04193,-0.256229,0.6986312146003776,0.561579,0.766596,1.08203,17.99472,10.91761,0.00564,28.91797,1559.667,301.6596,0.756174,1.24419,17.99261,10.75696,0.00624,28.75581,420.87,395.98,371.45,346.02,327.27,308.8,291.72,273.9,271.04,262.68,0.0226,0.0104,0.0007,0.0046,0.0061,0.0028,0.0238,0.0042,0.0324,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
CC(C[Al](CC(C)C)C#C[Si](C(C)C)(C(C)C)C(C)C)C,60,0,1,1.1432,322.5841,3336.593,10380.7316,-1279.42776433,0.538536,0.570519,0.571464,0.470766,-1278.924823,-1278.892839,-1278.891895,-1278.992592,C19H39AlSi,1.0,-0.23866,-0.04124,0.13995000000000002,0.09871,0.2581,3481.662,10784.8667,-2.688673,0.101789,0.031354,0.6408118313404657,0.456942,1.522638,1.76838,9.99691,1.21618,0.01854,11.23162,358.8535,96.1707,0.100600,1.18218,9.99615,1.80417,0.01750,11.81782,288.42,255.54,248.46,222.87,220.66,219.31,214.41,200.27,190.59,187.32,0.0004,0.0008,0.1023,0.0046,0.0062,0.03,0.0018,0.343,0.1501,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
C[Si](C(C)(C)C)(OCc1ccc(cc1)[Zn](C)(C)(C)([Li])[Li])C,51,0,1,6.9393,345.7579,3244.643,11267.1437,-2786.53760101,0.418922,0.450338,0.451282,0.353244,-2786.346402,-2786.314987,-2786.314043,-2786.41208,C16H30Li2OSiZn,1.0,-0.20984,-0.01881,0.114325,0.095515,0.3674,3244.643,12308.5342,-4.484925,-0.168104,0.350926,0.7500786658275646,0.684095,0.913306,1.06471,17.99104,10.93754,0.00671,28.93529,1674.9493,565.7472,0.742369,1.07681,17.99055,10.92313,0.00951,28.92319,287.15,284.89,272.18,271.3,267.61,260.74,248.34,246.44,245.45,236.9,0.0021,0.0002,0.0003,0.0065,0.0004,0.0027,0.0041,0.0399,0.0129,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
[Li][Zn](c1ccc(cc1)CCO[Si](C(C)(C)C)(C)C)(C)(C)(C)[Li],54,0,1,7.1408,359.7847,2877.657,10737.5154,-2825.85465281,0.447841,0.480348,0.481292,0.38221,-2825.634543,-2825.602036,-2825.601092,-2825.700174,C17H32Li2OSiZn,1.0,-0.20687,-0.01594,0.111405,0.095465,4.1547,3427.798,11404.0067,-4.092367,-0.320705,0.63529,0.7518093140339837,0.674399,0.899985,1.06193,17.99093,10.94032,0.00682,28.93807,1673.7113,551.2019,0.733473,1.07550,17.99045,10.92487,0.00918,28.92450,287.33,283.33,271.37,270.86,265.94,257.52,248.67,246.73,245.65,237.92,0.0018,0.0006,0.0003,0.0053,0.0035,0.0029,0.0385,0.0109,0.0192,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
BrB(Br)Br,4,0,1,0.0,250.522,649.237,1631.0893,-7740.06649874,0.005863,0.010905,0.011849,-0.024974,-7740.070591,-7740.06555,-7740.064605,-7740.101429,BBr3,1.0,-0.2875,-0.07441,0.18095499999999998,0.10654499999999999,0.0,784.495,1487.606,0.0,0.0,0.0,0.6006922592825676,0.332994,1.204464,0.01976,1.99982,2.91951,0.06091,4.98024,41.6101,48.2075,0.096365,-0.39818,1.99987,3.35458,0.04373,5.39818,269.02,229.94,229.94,210.38,210.38,176.94,166.14,162.17,162.17,155.87,0.0,0.0,0.0,0.1317,0.1317,0.0,0.0,0.0,0.0,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
Br[Mg]C1CCCCC1,19,0,1,5.5409,187.3619,1809.922,2522.3648,-3007.10589489,0.160408,0.169495,0.170439,0.123837,-3006.979484,-3006.970398,-3006.969453,-3007.016055,C6H11BrMg,1.0,-0.23032,-0.03975,0.135035,0.095285,7.1005,1301.873,2632.1317,0.630163,-0.000801,0.403115,0.4985053492762744,0.436417,0.950898,1.19454,9.99850,0.78807,0.01889,10.80546,507.6278,307.4311,0.062418,0.87446,9.99592,1.08638,0.04324,11.12554,257.7,246.16,240.02,227.6,227.42,201.09,200.53,200.4,198.88,196.8,0.2866,0.031,0.0326,0.0524,0.0618,0.0,0.0002,0.0028,0.0034,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Br[Mg]Cc1ccccc1,16,0,1,5.0197,195.3413,1618.209,2782.7479,-3042.80165602,0.118531,0.127693,0.128637,0.080886,-3042.717645,-3042.708482,-3042.707538,-3042.755289,C7H7BrMg,1.0,-0.2108,-0.04791,0.129355,0.08144499999999999,10.3815,1684.258,3160.9283,1.111834,0.754216,-0.001899,0.45712712397734423,0.545183,0.994245,1.24674,9.99850,0.73835,0.01641,10.75326,515.5486,282.3078,0.035731,0.73736,9.99725,1.23060,0.03478,11.26264,323.81,282.19,262.24,260.73,237.31,231.25,230.8,224.0,213.63,211.09,0.1593,0.0006,0.1339,0.0013,0.0193,0.0468,0.0516,0.0176,0.3049,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
CC(O[Al](OC(C)(C)C)OC(C)(C)C)(C)C,43,0,1,3.1849,246.325,2525.88,5131.8868,-941.765985089,0.381014,0.40349,0.404434,0.327158,-941.450712,-941.428236,-941.427292,-941.504567,C12H27AlO3,1.0,-0.2639,0.00499,0.12945500000000001,0.134445,3.4901,2099.828,5137.2104,0.000491,0.00021,-0.000887,0.6600849590937696,1.008776,1.754415,2.01925,9.99669,0.94715,0.03691,10.98075,518.5105,47.9401,0.366505,1.43384,9.99675,1.51445,0.05496,11.56616,200.08,200.07,187.91,183.98,183.95,177.64,167.4,167.39,166.81,165.51,0.0,0.0,0.0,0.0446,0.0445,0.0628,0.1346,0.1347,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC(O[Zr](OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C)(C)C,57,0,1,0.4477,383.678,3162.053,7348.7925,-979.017838461,0.503537,0.532653,0.533597,0.437912,-978.628487,-978.599371,-978.598427,-978.694111,C16H36O4Zr,1.0,-0.25027,0.02223,0.11402,0.13624999999999998,1.0974,3307.435,8695.9965,-0.000714,0.001246,-0.007985,0.6658275645059786,1.382858,3.142587,1.98170,35.95490,2.04880,0.01460,38.01830,-23.3986,0.237,1.107469,1.58617,35.95230,2.40881,0.05272,38.41383,200.57,200.53,200.41,194.83,194.75,194.69,192.94,192.31,192.18,192.13,0.0001,0.0003,0.0002,0.0248,0.0237,0.0256,0.0,0.0003,0.0004,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zr
CCB(CC)CC,22,0,1,0.1211,97.9945,1105.226,1048.2963,-262.531979299,0.201691,0.212188,0.213132,0.164614,-262.335353,-262.324857,-262.323912,-262.37243,C6H15B,1.0,-0.2738,-0.01212,0.14296,0.13083999999999998,1.608,1122.769,1063.976,0.000136,-0.003168,-0.572975,0.7077564505978603,0.445974,0.734370,0.98968,1.99923,1.99526,0.01583,4.01032,29.0343,139.4075,0.150464,0.39768,1.99917,2.57730,0.02584,4.60232,217.01,216.9,161.6,157.97,157.89,150.99,150.95,149.5,140.8,140.76,0.0021,0.002,0.0077,0.0288,0.0292,0.0532,0.0533,0.0016,0.0044,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
CCCC[N+](CCCC)(CCCC)CCCC,53,1,1,1.5181,242.4671,2377.555,5985.793,-685.907711664,0.508658,0.531553,0.532497,0.45513,-685.421598,-685.398703,-685.397759,-685.475126,C16H36N,1.0,-0.44437,-0.06803,0.2562,0.18817,6.7769,2717.206,6301.4533,0.021446,0.13381,-0.131441,0.8652454373820012,-0.405329,-0.468931,-0.28831,1.99947,5.28136,0.00748,7.28831,177.3232,20.4688,-0.332216,-0.32102,1.99948,5.31134,0.01020,7.32102,131.37,130.43,130.19,129.8,129.53,129.41,129.2,128.81,128.76,128.63,0.0011,0.0016,0.0043,0.0058,0.0079,0.0068,0.0159,0.0058,0.0024,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
CCC[N+](CCC)(CCC)CCC,41,1,1,0.0427,186.3599,1993.76,3471.3552,-528.67904428,0.394756,0.412066,0.41301,0.350448,-528.290445,-528.273135,-528.272191,-528.334753,C12H28N,1.0,-0.46865,-0.08254,0.27559500000000003,0.193055,0.002,2245.844,3461.237,3.1e-05,-2e-06,-8e-06,0.8579295154185022,-0.412987,-0.496671,-0.28569,1.99947,5.27916,0.00706,7.28569,177.5962,14.5465,-0.404884,-0.28382,1.99947,5.27716,0.00720,7.28382,128.86,126.86,126.86,125.14,125.1,125.1,124.63,124.58,123.14,123.14,0.0,0.0022,0.0022,0.0,0.0001,0.0001,0.0015,0.0,0.0527,0.0527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
CC[N+](CC)(CC)CC,29,1,1,0.0477,130.2527,1432.201,1434.7891,-371.423983045,0.28051,0.29199,0.292934,0.244743,-371.147212,-371.135731,-371.134787,-371.182979,C8H20N,1.0,-0.50374,-0.09276,0.29824999999999996,0.20548999999999998,0.0166,1378.493,1435.3966,0.000488,-0.000761,0.000212,0.8576935179358087,-0.382118,-0.465389,-0.29941,1.99947,5.29298,0.00697,7.29941,179.3724,17.8263,-0.363404,-0.31397,1.99947,5.30736,0.00714,7.31397,121.62,119.6,117.73,117.71,115.36,114.68,114.53,114.53,113.93,112.39,0.0,0.0029,0.0136,0.0136,0.0,0.0,0.01,0.01,0.008,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
COB(OC)OC,16,0,1,1.3428,103.9123,1008.855,890.8368,-370.314784041,0.133422,0.142252,0.143196,0.099146,-370.241231,-370.232402,-370.231457,-370.275507,C3H9BO3,1.0,-0.26914,0.07481,0.097165,0.171975,1.7731,1073.942,905.1304,0.188607,-0.285148,-0.034388,0.5891283826305853,0.562819,1.570461,1.29960,1.99905,1.66960,0.03175,3.70040,96.1842,6.4959,0.310817,0.89045,1.99909,2.05697,0.05349,4.10955,147.75,146.81,143.06,142.69,141.68,138.81,135.35,133.56,128.77,128.53,0.0807,0.0203,0.0268,0.0553,0.1344,0.0023,0.0145,0.0153,0.042,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
C[Al](C)C,13,0,1,0.0298,72.0856,901.256,546.2152,-362.18604425,0.106678,0.113525,0.11447,0.0757,-362.082464,-362.075617,-362.074673,-362.113442,C3H9Al,1.0,-0.25938,-0.01803,0.138705,0.120675,2.7255,901.256,542.4271,0.008294,-0.012069,-1e-06,0.5643486469477659,0.730683,1.246386,1.77706,9.99804,1.21077,0.01413,11.22294,321.134,124.6578,0.158776,0.99247,9.99635,1.98694,0.02423,12.00753,231.04,230.51,177.52,176.53,152.91,151.57,150.7,150.31,145.41,143.22,0.0,0.0,0.101,0.1424,0.0022,0.0011,0.0801,0.0757,0.0004,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
C[Mg]I,6,0,1,3.2529,166.2442,1157.117,759.7058,-251.445177124,0.035822,0.041106,0.04205,0.006,-251.41428,-251.408996,-251.408052,-251.444102,CH3IMg,1.0,-0.25972,-0.04764,0.15368,0.10604,4.2498,1157.117,708.3511,1.584701,0.000142,-4.8e-05,0.4260541220893644,0.482448,0.995318,1.18034,9.99862,0.79962,0.02142,10.81966,490.2808,335.3239,0.041823,0.58185,9.99838,1.37533,0.04444,11.41815,254.79,254.79,226.11,218.98,218.97,218.85,218.65,218.65,202.93,177.75,0.0378,0.0378,0.2565,0.0256,0.0255,0.0,0.0001,0.0001,0.2503,0.3874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
C[N+](C)(C)C,17,1,1,0.0003,74.1455,849.53,452.0266,-214.164752091,0.164738,0.171397,0.172341,0.135777,-214.000419,-213.99376,-213.992816,-214.02938,C4H12N,1.0,-0.58034,-0.13205,0.356195,0.22414499999999998,0.6107,788.849,449.4842,-6.4e-05,-5.6e-05,-8.4e-05,0.7185336689741976,-0.359387,-0.371933,-0.29826,1.99950,5.29282,0.00594,7.29826,200.9647,0.1127,-0.216459,-0.39929,1.99954,5.38670,0.01306,7.39929,112.63,112.63,112.62,111.49,111.49,111.48,101.87,101.86,98.46,98.45,0.0,0.0,0.0,0.0045,0.0045,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
C[Si](Cl)(C)C,14,0,1,2.3886,108.6426,997.808,758.807,-869.520967832,0.113443,0.122087,0.123032,0.080712,-869.409121,-869.400477,-869.399533,-869.441852,C3H9ClSi,1.0,-0.29077,0.04864,0.12106499999999998,0.169705,1.2954,955.348,778.6089,0.340199,0.000459,-3.9e-05,0.7014631843926998,0.718345,1.601722,1.76370,9.99814,2.18807,0.05008,12.23630,369.9389,38.3397,0.166312,1.20130,9.99781,2.74145,0.05944,12.79870,154.47,154.46,139.68,139.67,135.13,135.12,133.96,131.65,131.65,130.9,0.0067,0.0067,0.0724,0.0727,0.0004,0.0004,0.0,0.0606,0.0605,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Si
Cl[Al](Cl)Cl,4,0,1,0.0,133.3405,920.493,1007.5044,-1623.22036414,0.004786,0.010114,0.011058,-0.02454,-1623.22848,-1623.223152,-1623.222208,-1623.257807,AlCl3,1.0,-0.33326,-0.06547,0.19936500000000001,0.133895,0.0004,1048.339,907.4627,0.0,0.0,0.0,0.5459408432976715,0.575670,1.674913,1.49874,9.99966,1.44083,0.06077,11.50126,470.6392,30.2415,-0.034502,0.90983,9.99981,1.96178,0.12857,12.09017,200.36,191.8,187.62,187.62,181.12,181.12,175.57,175.57,170.2,170.2,0.0,0.0,0.0,0.0,0.0359,0.0359,0.0,0.0,0.0924,0.0924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
Cl[Zr](Cl)(Cl)Cl,5,0,1,0.0,233.032,864.915,1663.0606,-1887.62703281,0.004852,0.012571,0.013515,-0.029578,-1887.641529,-1887.63381,-1887.632866,-1887.675959,Cl4Zr,1.0,-0.35108,-0.12957,0.240325,0.110755,1.0711,1142.924,1498.8748,0.0,0.0,0.0,0.710509754562618,1.168590,2.250293,0.81018,35.98716,3.12914,0.07352,39.18982,-165.9001,0.1621,0.991571,0.61148,35.98916,3.29785,0.10151,39.38852,253.21,253.21,253.17,242.74,242.74,242.73,228.97,228.97,228.96,221.45,0.0,0.0,0.0,0.0204,0.0204,0.0203,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zr
FB(F)F,4,0,1,0.0,67.8052,353.385,246.6945,-324.515085639,0.012556,0.016054,0.016998,-0.01191,-324.540666,-324.537168,-324.536224,-324.565132,BF3,1.0,-0.41408,0.03594,0.18907000000000002,0.22501,0.0001,405.353,210.5384,0.0,0.0,0.0,0.39018250471994964,0.646075,1.570924,1.43858,1.99996,1.52150,0.03996,3.56142,101.4752,8.0014,0.190959,0.72328,2.00000,2.22780,0.04892,4.27672,119.22,107.82,107.82,102.3,101.5,101.5,95.9,95.9,91.43,91.43,0.0,0.0,0.0,0.0,0.0529,0.0529,0.0,0.0,0.1636,0.1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
[K+],1,1,1,0.0,39.0983,121.228,19.6327,-599.72498925,0.0,0.001416,0.00236,-0.015176,-599.724989,-599.723573,-599.722629,-599.740165,K,1.0,-0.98252,-0.22031,0.601415,0.38110499999999997,0.0,666.751,35.3812,0.0,0.0,0.0,0.7715544367526747,1.000000,1.000000,1.00000,18.00000,0.00000,0.00000,18.00000,1324.9848,0.0,1.000000,0.99133,17.01165,0.99702,0.00000,18.00867,63.87,63.87,63.87,56.0,56.0,56.0,56.0,,,,0.1067,0.1067,0.1067,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,K
[Li]Cl,2,0,1,7.7246,42.393,459.254,70.1006,-467.792518998,0.001437,0.003942,0.004886,-0.019286,-467.794844,-467.79234,-467.791396,-467.815567,ClLi,1.0,-0.24808,-0.06052,0.1543,0.09378,4.2786,331.683,94.2348,0.0,0.0,-1.74636,0.32599118942731276,0.405289,0.743577,0.82153,1.99963,0.17135,0.00749,2.17847,92.2993,22.166,-0.134370,-0.03319,2.00003,1.02769,0.00547,3.03319,298.4,298.4,252.63,209.57,209.54,207.29,186.79,185.97,185.97,175.69,0.0261,0.0261,0.0266,0.0,0.0,0.0,0.1822,0.0257,0.0257,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
C[Al](c1ccccc1)C,20,0,1,1.6633,134.1564,1027.452,1713.9094,-553.892747892,0.162071,0.173283,0.174228,0.122612,-553.764165,-553.752953,-553.752009,-553.803624,C8H11Al,1.0,-0.24388,-0.03772,0.1408,0.10308,5.56,784.108,1813.2748,1.704764,-1.8e-05,-4e-05,0.5940843297671492,0.621068,1.360625,1.76231,9.99761,1.22520,0.01488,11.23769,338.7238,71.5437,0.347194,1.34129,9.99771,1.64140,0.01960,11.65871,254.39,246.75,241.82,237.07,203.47,202.05,189.95,185.89,185.83,185.21,0.0091,0.0002,0.0003,0.2408,0.0195,0.0,0.0829,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
[Li][Al](c1ccccc1)(C)(C)C,25,0,1,9.145,156.1311,1739.083,2184.962,-601.261067329,0.199382,0.213977,0.214922,0.158294,-601.198499,-601.183903,-601.182959,-601.239587,C9H14AlLi,1.0,-0.239,-0.0343,0.13665,0.10235,5.4435,1987.524,2203.0722,-1.582539,-0.016571,0.202119,0.7328508495909377,0.786018,1.328649,1.62247,9.99531,1.36613,0.01609,11.37753,472.5955,64.2363,0.871315,1.68573,9.99297,1.30013,0.02117,11.31427,260.54,258.25,250.11,242.68,234.52,234.24,233.41,225.64,223.08,219.23,0.0032,0.0057,0.0276,0.0048,0.0107,0.0007,0.0019,0.0132,0.0021,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC(C[Al](c1ccccc1)CC(C)C)C,38,0,1,1.295,218.3172,2127.6,5134.6686,-789.766718214,0.334305,0.352051,0.352995,0.28714,-789.463279,-789.445534,-789.444589,-789.510444,C14H23Al,1.0,-0.24201,-0.03794,0.13997500000000002,0.102035,5.9958,2572.173,4947.2937,-0.440907,0.024605,-0.675274,0.6773127753303965,0.548321,1.369984,1.82974,9.99757,1.15416,0.01853,11.17026,334.034,78.3564,0.199984,1.27594,9.99587,1.70958,0.01861,11.72406,270.99,257.52,254.52,238.48,208.23,205.3,204.2,192.26,191.72,190.72,0.0008,0.0,0.0071,0.2315,0.0002,0.0178,0.0003,0.0038,0.0567,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
FC(c1ccc(cc1)B1OCC(CO1)(C)C)(F)F,32,0,1,3.1754,258.0466,2036.097,7146.3166,-940.613734586,0.251791,0.268397,0.269341,0.205309,-940.405154,-940.388548,-940.387603,-940.451636,C12H14BF3O2,1.0,-0.25435,-0.03673,0.14554,0.10881000000000002,4.3543,1989.822,7205.6188,1.507901,6.1e-05,-0.288008,0.6625235997482694,0.443296,1.351482,1.13636,1.99903,1.83713,0.02748,3.86364,86.457,15.2252,0.392224,1.04633,1.99905,1.92659,0.02803,3.95367,243.29,219.41,201.22,197.73,186.35,181.79,180.33,175.61,173.53,170.45,0.014,0.3609,0.0,0.0064,0.0054,0.2669,0.7493,0.0001,0.0008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
c1ccc(cc1)[Al](c1ccccc1)c1ccccc1,34,0,1,1.1551,258.298,2114.005,6145.3336,-937.370371559,0.272329,0.288981,0.289926,0.224841,-937.125333,-937.108681,-937.107737,-937.172821,C18H15Al,1.0,-0.24469,-0.05224,0.14846499999999999,0.09622499999999999,4.8673,2659.555,6566.681,-0.000112,-0.000132,-0.000289,0.6538703587161737,0.399426,1.621972,1.75575,9.99685,1.22984,0.01756,11.24425,369.6022,11.718,0.113001,1.30353,9.99688,1.68418,0.01541,11.69647,269.14,269.13,267.36,266.8,266.76,253.7,253.66,248.76,222.09,222.01,0.0001,0.0002,0.0019,0.1878,0.189,0.0439,0.044,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
