,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,Y_0,Z_0,VBur_0,Mulliken_charge_0,APT_charge_0,NPA_charge_0,NPA_core_0,NPA_valence_0,NPA_Rydberg_0,NPA_total_0,NMR_shift_0,NMR_anisotropy_0,ES_root_Mulliken_charge_0,ES_root_NPA_charge_0,ES_root_NPA_core_0,ES_root_NPA_valence_0,ES_root_NPA_Rydberg_0,ES_root_NPA_total_0,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0
Br[Mg]c1c(C)cc(cc1C)C,22,0,1,4.0509,223.3949,1778.409,4628.0022,-3121.45444621,0.173158,0.18676,0.187705,0.127911,-3121.297223,-3121.283621,-3121.282677,-3121.342471,C9H11BrMg,1.0,-0.23031,-0.03453,0.13241999999999998,0.09788999999999999,14.1972,1422.728,4323.3379,1.331504,0.018575,-2.1e-05,0.5067652611705475,0.387535,1.088361,1.21631,9.99791,0.76914,0.01664,10.78369,512.2136,285.2319,-0.134721,0.60843,9.99843,1.36551,0.02763,11.39157,275.92,268.87,260.92,250.73,234.56,230.18,226.35,225.12,221.23,220.45,0.0058,0.0001,0.01,0.1683,0.0158,0.0,0.0001,0.3736,0.0303,0.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
CC(C[Al](c1ccc(cc1)F)CC(C)C)C,38,0,1,2.1674,236.3077,1756.653,5779.0576,-889.003136819,0.326047,0.345563,0.346507,0.27508,-888.707443,-888.687927,-888.686983,-888.75841,C14H22AlF,1.0,-0.24217,-0.03862,0.140395,0.101775,7.7726,2244.612,6058.8892,-0.677392,-0.080289,-3.1e-05,0.684550031466331,0.535740,1.384151,1.83394,9.99759,1.14873,0.01974,11.16606,333.0064,67.3681,0.187767,1.26003,9.99584,1.72578,0.01835,11.73997,266.96,248.99,245.87,243.1,210.9,210.44,207.35,191.55,189.35,187.28,0.0008,0.0013,0.0006,0.26,0.0012,0.0002,0.0557,0.0451,0.011,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC([Si](Oc1ccc(cc1)[Li])(C)C)(C)C,34,0,1,6.0188,214.307,1993.188,4194.5353,-840.99649601,0.281418,0.299283,0.300227,0.236457,-840.724097,-840.706231,-840.705287,-840.769058,C12H19LiOSi,1.0,-0.18061,-0.04996,0.115285,0.065325,13.824,1538.601,4333.7956,-6.346919,0.002763,0.00266,0.35934550031466334,0.362020,0.688797,0.79429,1.99863,0.20092,0.00616,2.20571,90.8124,15.9627,-0.302005,-0.05989,1.99880,1.05850,0.00259,3.05989,437.09,405.49,335.72,287.79,287.22,285.29,281.05,251.79,249.12,242.4,0.0098,0.1147,0.0,0.0,0.0312,0.0725,0.2681,0.0039,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
COc1cc(OC)cc(c1)[Al](CC(C)C)CC(C)C,46,0,1,1.7681,278.3696,3083.231,7708.3298,-1018.81131715,0.399575,0.423537,0.424482,0.342575,-1018.444405,-1018.420442,-1018.419498,-1018.501404,C16H27AlO2,1.0,-0.20919,-0.03616,0.12267499999999999,0.086515,6.3706,2714.584,7960.5682,1.189114,-0.000346,-0.020486,0.685336689741976,0.543998,1.378630,1.83829,9.99759,1.14424,0.01988,11.16171,332.5072,66.9926,0.221064,1.30524,9.99758,1.68152,0.01566,11.69476,302.36,271.62,266.71,256.09,224.39,212.6,205.61,200.71,196.54,189.54,0.0206,0.1487,0.0063,0.0005,0.0022,0.0,0.0899,0.0088,0.0051,0.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
CC(C[Al](c1c(C)cccc1C)CC(C)C)C,44,0,1,0.9999,246.3708,2727.937,5847.5131,-868.402064001,0.389226,0.411355,0.412299,0.336194,-868.03759,-868.015462,-868.014517,-868.090623,C16H27Al,1.0,-0.22634,-0.01674,0.12154000000000001,0.1048,2.0442,2758.587,5530.5632,0.604236,0.104568,-0.340125,0.7363121460037759,0.546567,1.287177,1.86798,9.99773,1.11086,0.02343,11.13202,330.282,125.192,0.044405,1.05440,9.99691,1.93334,0.01536,11.94560,259.75,248.56,237.49,236.5,231.98,223.33,217.98,206.05,205.22,199.66,0.0127,0.0056,0.0012,0.0061,0.0025,0.1395,0.0198,0.0069,0.0069,0.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
Br[Mg]Br,3,0,1,0.0,184.113,996.537,1727.041,-5343.6505503,0.00228,0.006756,0.0077,-0.025133,-5343.664733,-5343.660257,-5343.659312,-5343.692146,Br2Mg,1.0,-0.29333,-0.07146,0.18239499999999997,0.11093499999999999,0.0,739.366,1451.1442,0.0,0.0,0.0,0.4247954688483323,0.483742,1.100669,1.19156,9.99960,0.78678,0.02205,10.80844,529.7688,284.3865,-0.040120,0.53994,9.99978,1.42228,0.03800,11.46006,247.33,247.33,236.86,236.86,199.41,191.93,191.08,191.08,187.7,187.39,0.0,0.0,0.0744,0.0744,0.1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
CC(=O)O[Ag],8,0,1,7.3387,166.9125,684.274,700.4092,-374.221935802,0.050184,0.056455,0.057399,0.016685,-374.177092,-374.170822,-374.169877,-374.210592,C2H3AgO2,1.0,-0.22731,-0.13983,0.18357,0.04374,2.3128,848.5,751.4682,1.198084,0.002099,-3.5e-05,0.45217117684078034,0.430219,0.522164,0.62884,35.99787,10.36770,0.00559,46.37116,266.67,73.4928,0.180790,0.33725,35.99922,10.65725,0.00628,46.66275,629.31,561.36,443.31,266.51,259.55,258.39,251.54,250.63,249.28,235.63,0.0398,0.003,0.0934,0.0089,0.0,0.0278,0.0016,0.0013,0.0404,0.0207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ag
CC(O[Ti](OC(C)C)(OC(C)C)OC(C)C)C,45,0,1,1.7094,284.2508,2743.188,5462.7604,-1624.53869661,0.394651,0.420167,0.421111,0.331272,-1624.314719,-1624.289202,-1624.288258,-1624.378097,C12H28O4Ti,1.0,-0.25123,-0.02481,0.13802,0.11321,1.877,2841.159,5967.0129,-0.034958,0.040569,-0.112267,0.6687382001258654,1.221443,2.826143,1.50637,17.95951,2.51158,0.02254,20.49363,-16.596,48.0424,1.075179,1.29521,17.95968,2.71284,0.03227,20.70479,255.47,246.72,240.83,238.15,230.98,227.01,218.08,217.64,217.28,214.97,0.0016,0.0049,0.0121,0.0149,0.0135,0.0079,0.0012,0.0013,0.002,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ti
CC(O[Y](OC(C)C)OC(C)C)C,34,0,1,5.6762,266.169,2222.865,4067.3699,-619.33030533,0.294023,0.313843,0.314787,0.238533,-619.118104,-619.098284,-619.09734,-619.173594,C9H21O3Y,1.0,-0.24036,-0.06607,0.153215,0.087145,0.5169,2261.862,5152.5273,-0.09391,-0.115872,-0.097343,0.6379798615481435,1.207285,2.560407,1.97256,35.96648,1.05125,0.00971,37.02744,33.014,18.526,0.692631,1.25489,35.96697,1.77012,0.00802,37.74511,331.23,311.29,296.87,296.01,289.59,289.42,213.17,212.03,211.66,203.63,0.0,0.0399,0.0054,0.0062,0.0003,0.0001,0.0009,0.0005,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
CCO[Na],9,0,1,7.2828,68.0507,558.701,430.4073,-316.729300973,0.068675,0.074311,0.075255,0.039048,-316.673201,-316.667565,-316.666621,-316.702828,C2H5NaO,1.0,-0.1595,-0.06369,0.111595,0.047905,6.5307,819.429,484.1272,-2.153086,-0.25637,3.5e-05,0.48662680931403396,0.581431,0.728478,0.84168,9.99641,0.15117,0.01074,10.15832,579.5532,72.0805,0.091100,0.02277,9.99708,0.97262,0.00753,10.97723,711.21,685.49,341.39,341.15,333.98,302.6,281.91,276.45,227.74,225.31,0.0106,0.0123,0.0014,0.0015,0.0011,0.1308,0.0066,0.0162,0.0022,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Na
Cl[Mg]Cl,3,0,1,0.0,95.211,439.574,775.4869,-1120.61825615,0.00261,0.006958,0.007903,-0.022986,-1120.628065,-1120.623716,-1120.622772,-1120.65366,Cl2Mg,1.0,-0.31632,-0.07871,0.197515,0.118805,0.0,468.879,670.1119,0.0,0.0,0.0,0.40717432347388294,0.540199,1.239767,1.34684,9.99956,0.63026,0.02334,10.65316,551.3705,246.2734,-0.007973,0.64486,9.99974,1.32051,0.03489,11.35514,230.59,230.59,222.54,222.54,189.3,175.92,175.5,175.5,174.62,173.16,0.0,0.0,0.0764,0.0764,0.1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
Cl[Zn]Cl,3,0,1,0.0,136.286,473.304,682.5636,-2699.60681469,0.00237,0.006814,0.007758,-0.0239,-2699.611295,-2699.606852,-2699.605908,-2699.637566,Cl2Zn,1.0,-0.32149,-0.06951,0.1955,0.12599,0.0,572.948,618.8142,0.0,0.0,0.0,0.5103838892385147,0.616159,1.021944,1.06160,17.99946,10.92747,0.01147,28.93840,1924.0433,911.045,0.086798,0.51491,17.99967,11.44269,0.04273,29.48509,217.91,217.91,197.85,197.85,175.57,174.51,174.5,173.87,163.81,162.88,0.0,0.0,0.0522,0.0522,0.0,0.0,0.0,0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
FC(S(=O)(=O)O[Al](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)(F)F,25,0,1,4.914,474.1747,2224.436,10367.2546,-3126.53049688,0.088506,0.114232,0.115176,0.026739,-3126.768933,-3126.743207,-3126.742263,-3126.8307,C3AlF9O9S3,1.0,-0.3338,-0.05082,0.19230999999999998,0.14149,6.4083,2344.676,9750.8602,0.06148,-0.073321,-0.075,0.7474040276903713,0.985006,2.059429,2.03193,9.99771,0.92937,0.04098,10.96807,573.5759,65.9446,0.655775,1.72050,9.99751,1.22914,0.05285,11.27950,179.03,176.43,169.75,168.31,166.07,163.08,162.8,160.79,159.24,157.49,0.0002,0.0037,0.0003,0.0245,0.0012,0.0138,0.0055,0.0062,0.0022,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al
FC(S(=O)(=O)O[Y](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)(F)F,25,0,1,6.7672,536.0991,1979.542,11078.4428,-2922.0957412,0.086576,0.112987,0.113931,0.022995,-2922.36699,-2922.340579,-2922.339635,-2922.430571,C3F9O9S3Y,1.0,-0.34828,-0.08569,0.21698499999999998,0.131295,1.0957,2212.43,11032.0831,-0.2656,-0.335065,-0.05438,0.8119100062932662,1.206171,2.476764,1.90904,35.99152,1.00065,0.09878,37.09096,43.8325,18.414,0.778726,1.25533,35.98500,1.64749,0.11219,37.74467,202.24,192.95,191.13,183.59,181.65,179.53,179.04,178.51,177.74,176.88,0.0024,0.0004,0.0015,0.0282,0.0088,0.0111,0.0024,0.005,0.0045,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
FC(S(=O)(=O)O[Zn]OS(=O)(=O)C(F)(F)F)(F)F,17,0,1,5.7245,363.5088,1514.788,5679.8276,-3701.81623133,0.057827,0.075324,0.076268,0.008194,-3701.982248,-3701.964752,-3701.963808,-3702.031881,C2F6O6S2Zn,1.0,-0.3381,-0.06177,0.199935,0.138165,1.913,1541.363,6246.2781,0.0,-0.500947,-0.000125,0.6623662680931404,0.902804,1.379487,1.33153,17.99893,10.65427,0.01527,28.66847,2005.316,197.2147,0.369077,0.78466,17.99864,11.19239,0.02431,29.21534,192.1,191.69,170.47,170.25,169.19,168.29,161.23,161.22,155.75,155.72,0.003,0.0038,0.0139,0.0933,0.0306,0.011,0.0078,0.0077,0.0036,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
F[Ag],2,0,1,5.0064,126.8664,343.117,148.045,-245.581576013,0.001144,0.003727,0.004671,-0.022072,-245.580702,-245.578119,-245.577175,-245.603918,AgF,1.0,-0.27097,-0.12946,0.20021499999999998,0.070755,0.2577,369.51,154.4061,0.0,0.0,0.319261,0.40151038388923854,0.467179,0.582562,0.63020,35.99874,10.36116,0.00990,46.36980,258.8884,90.7553,0.241430,0.26019,36.00049,10.72827,0.01106,46.73981,472.92,472.92,386.03,262.56,262.41,239.69,239.69,203.4,203.18,202.58,0.0097,0.0097,0.0297,0.0,0.0,0.0012,0.0012,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ag
F[Fe](F)F,4,0,2,0.1949,112.8422,402.321,383.5872,-1563.08523282,0.005871,0.009501,0.010445,-0.021926,-1563.106595,-1563.102965,-1563.10202,-1563.134391,F3Fe,1.0,0,0,-0.0,0.0,0.0063,482.785,336.3922,0.0,0.0,0.015109,0.47451227186910006,1.103093,1.797222,1.33463,17.99367,6.65061,0.02108,24.66537,-23008.5291,66343.7861,1.107492,1.34727,17.99418,6.63676,0.02179,24.65273,-2056.24,-2484.87,-4019.81,-6115.35,-7650.32,13488.15,9653.98,5189.58,2615.38,1532.24,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.637,3.058,2.781,2.777,0.881,0.759,0.724,0.753,0.446,0.739,Fe
F[Mg]F,3,0,1,0.0,62.3018,288.037,297.6159,-399.85837774,0.00407,0.007978,0.008923,-0.019394,-399.886044,-399.882135,-399.881191,-399.909508,F2Mg,1.0,-0.34429,-0.0684,0.206345,0.13794499999999998,0.0,345.645,244.3177,0.0,0.0,0.0,0.3410950283196979,1.009055,1.277054,1.51837,9.99923,0.43734,0.04505,10.48163,571.4575,210.1831,0.534056,0.80989,9.99948,1.15731,0.03333,11.19011,198.98,198.98,192.84,192.84,177.53,165.37,148.62,147.87,147.87,146.78,0.0,0.0,0.085,0.085,0.0755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg
F[Zn]F,3,0,1,0.0,103.3768,505.521,263.5221,-1978.84279305,0.003872,0.007839,0.008783,-0.020441,-1978.846592,-1978.842624,-1978.84168,-1978.870904,F2Zn,1.0,-0.34222,-0.06022,0.20122,0.14100000000000001,0.0,643.39,244.5201,0.0,0.0,0.0,0.44493392070484583,0.963562,1.057876,1.27471,17.99954,10.71050,0.01525,28.72529,1719.8647,1208.4315,0.497413,0.78986,17.99971,11.15483,0.05561,29.21014,201.38,201.38,171.77,171.77,159.55,156.74,155.0,153.71,153.71,138.67,0.0,0.0,0.054,0.054,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn
O[Na],3,0,1,6.4547,39.9971,293.821,104.6637,-238.108457601,0.010617,0.01404,0.014984,-0.012198,-238.09953,-238.096107,-238.095163,-238.122345,HNaO,1.0,-0.16892,-0.06174,0.11532999999999999,0.05358999999999999,3.6044,330.548,117.7701,0.038825,-0.918845,-0.0,0.4856828193832599,0.523612,0.638649,0.76948,9.99754,0.21917,0.01382,10.23052,579.9791,72.425,0.207858,0.11891,9.99969,0.82176,0.05964,10.88109,628.62,505.01,318.66,307.55,302.36,278.18,276.24,259.86,216.15,206.78,0.0203,0.0573,0.0009,0.0153,0.0131,0.0358,0.0557,0.0662,0.0212,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Na
[Li]I,2,0,1,8.0558,133.8445,584.048,104.1553,-18.9826198928,0.001111,0.003705,0.004649,-0.021748,-18.984214,-18.98162,-18.980676,-19.007072,ILi,1.0,-0.22141,-0.06723,0.14432,0.07708999999999999,4.502,700.858,133.0303,0.0,0.0,-2.306326,0.34392699811202015,0.313735,0.694714,0.74484,1.99973,0.24471,0.01073,2.25516,92.3155,22.2217,-0.149478,-0.06615,2.00000,1.05551,0.01065,3.06615,371.04,371.04,295.02,249.95,249.94,247.04,219.47,213.38,213.38,196.1,0.0242,0.0242,0.0522,0.0,0.0,0.0,0.3157,0.0508,0.0508,0.2326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]OC(=O)C(C)(C)C,17,0,1,6.2522,108.0649,901.167,863.814,-353.992709761,0.137481,0.146627,0.147571,0.103798,-353.889558,-353.880412,-353.879467,-353.923241,C5H9LiO2,1.0,-0.25052,-0.03325,0.141885,0.10863500000000001,9.6974,1310.789,878.7642,2.955868,0.005664,-9.5e-05,0.3964757709251101,0.505759,0.759061,0.84244,1.99874,0.14797,0.01085,2.15756,90.4768,7.23,-0.171235,-0.07419,1.99884,1.07351,0.00184,3.07419,249.39,239.62,231.75,210.2,198.41,192.32,182.91,178.52,176.0,175.83,0.0,0.0,0.0841,0.0,0.0018,0.0226,0.0001,0.0027,0.0081,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Li]OC(C)(C)C,15,0,1,5.625,80.0545,921.681,501.9298,-240.612114662,0.126458,0.134096,0.135041,0.095836,-240.507689,-240.50005,-240.499106,-240.538311,C4H9LiO,1.0,-0.198,-0.04714,0.12257000000000001,0.07543,8.0064,1079.683,565.7545,-2.874783,0.000477,0.000674,0.3211925739458779,0.468891,0.740840,0.79586,1.99689,0.20060,0.00666,2.20414,92.6255,22.6573,0.004866,-0.02371,1.99754,1.02321,0.00296,3.02371,395.55,395.53,250.39,250.37,246.71,221.03,207.93,207.93,194.88,194.85,0.0206,0.0206,0.0007,0.0007,0.0,0.2083,0.0335,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
[Na]I,2,0,1,9.1526,149.8943,630.036,261.9609,-173.756644489,0.000581,0.003421,0.004365,-0.023902,-173.756279,-173.753439,-173.752495,-173.780762,INa,1.0,-0.20704,-0.08104,0.14404,0.063,3.2705,551.282,290.0839,0.0,0.0,-2.266839,0.5091252359974827,0.460803,0.710222,0.78416,9.99936,0.20940,0.00708,10.21584,581.0808,75.3874,0.001899,0.02911,10.00019,0.96310,0.00760,10.97089,463.28,463.28,349.31,266.72,266.72,264.67,244.14,236.21,236.21,227.64,0.015,0.015,0.1398,0.0,0.0,0.0,0.2212,0.0093,0.0093,0.2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Na
[Na]OC(=O)O[Na],6,0,1,9.5697,105.9887,655.255,789.164,-588.445768622,0.017623,0.023778,0.024722,-0.013206,-588.483387,-588.477232,-588.476288,-588.514217,CNa2O3,1.0,-0.16892,-0.04543,0.10717499999999999,0.061744999999999994,0.5478,480.52,669.7827,2.144978,-0.708808,8e-06,0.5426368785399622,0.568821,0.772293,0.84609,9.99803,0.14299,0.01290,10.15391,573.4325,18.9324,0.341715,0.47725,9.99772,0.52133,0.00371,10.52275,472.14,427.25,363.5,351.74,336.26,325.38,320.07,307.63,290.18,274.53,0.0012,0.0007,0.0,0.0002,0.0102,0.0,0.0427,0.0422,0.0,0.0349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Na
[Na]OC(C)(C)C,15,0,1,6.2012,96.1043,848.986,690.8868,-395.369399787,0.124533,0.132773,0.133717,0.091124,-395.25505,-395.24681,-395.245866,-395.288459,C4H9NaO,1.0,-0.16594,-0.0647,0.11532,0.050620000000000005,6.9209,1033.548,837.2617,2.69734,0.000159,0.000303,0.4882787916928886,0.569352,0.731848,0.84085,9.99651,0.15171,0.01093,10.15915,579.7567,72.2228,0.059465,-0.00523,9.99715,1.00727,0.00082,11.00523,654.64,654.61,329.13,329.11,323.71,293.11,273.48,273.48,226.21,226.2,0.0121,0.0121,0.0003,0.0003,0.0,0.1427,0.0285,0.0285,0.0016,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Na
Br[Cu]Br,3,0,2,0.0,223.354,652.976,1604.1048,-6783.73109029,0.002004,0.006579,0.007523,-0.02638,-6783.74974,-6783.745165,-6783.744221,-6783.778124,Br2Cu,1.0,0,0,-0.0,0.0,0.0,627.862,1339.5083,0.0,0.0,0.0,0.500943989930774,0.541012,0.877677,0.90551,17.99940,10.08328,0.01180,28.09449,-18630.3075,19887.8334,0.410038,0.62976,18.00043,10.36274,0.00706,28.37024,-921.97,-921.97,-1986.15,-3168.82,-3168.82,13673.07,4086.17,1379.71,1379.71,587.18,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.752,0.752,0.751,0.753,0.753,0.751,0.753,0.752,0.752,0.751,Cu
F[Cu]F,3,0,2,0.0,101.5428,382.204,281.0398,-1839.91360165,0.003665,0.007778,0.008722,-0.021845,-1839.925408,-1839.921295,-1839.920351,-1839.950918,CuF2,1.0,0,0,-0.0,0.0,0.0,261.508,246.0553,0.0,0.0,0.0,0.4159848961611076,0.958386,1.071333,1.26446,17.99950,9.71981,0.01623,27.73554,-11437.0819,24815.1721,0.985674,1.28035,17.99868,9.70457,0.01640,27.71965,-1063.9,-1069.1,-1069.1,8733.6,983.58,983.58,741.62,607.57,607.57,363.08,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.752,0.752,0.751,0.753,0.753,0.753,0.753,0.753,0.752,Cu
[Cu]I,2,0,1,5.5985,190.4505,792.714,393.7098,-1651.61400168,0.000591,0.003425,0.004369,-0.024665,-1651.624258,-1651.621424,-1651.62048,-1651.649514,CuI,1.0,-0.2132,-0.1092,0.1612,0.052,2.554,594.535,334.9572,0.0,0.0,-1.524215,0.4122089364380113,0.255524,0.496387,0.47986,17.99901,10.50272,0.01841,28.52014,-3913.3995,9491.4956,0.255240,0.51188,17.99979,10.48247,0.00586,28.48812,1588.94,1588.74,1205.37,1205.37,620.5,384.74,384.74,302.8,302.8,295.35,0.0,0.0,0.001,0.001,0.0249,0.003,0.003,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu
O=S1(=O)O[Cu]O1,6,0,2,9.6162,159.6036,556.857,773.8295,-2339.22440848,0.016953,0.022593,0.023538,-0.014541,-2339.242431,-2339.236791,-2339.235847,-2339.273925,CuO4S,1.0,0,0,-0.0,0.0,7.9366,690.503,731.9812,1.470048,-2.5e-05,-2.5e-05,0.46617369414726245,0.858058,0.908988,1.18336,17.99643,9.80773,0.01248,27.81664,-3038.86,3417.2499,0.811222,1.15675,17.99782,9.83379,0.01164,27.84325,1091.85,870.94,680.92,601.85,513.48,508.72,505.57,498.83,487.93,476.17,0.0002,0.0,0.0008,0.0015,0.0,0.0,0.0001,0.001,0.0,0.0026,0.764,0.771,0.752,0.755,2.01,1.471,2.534,0.803,0.768,0.851,Cu
[Na]OP(=O)(O[Na])O,8,0,1,8.4209,141.9588,609.283,1080.9215,-967.566115016,0.028835,0.036958,0.037903,-0.004521,-967.637099,-967.628975,-967.628031,-967.670455,HNa2O4P,1.0,-0.20252,-0.04878,0.12565,0.07687000000000001,2.3077,739.844,922.2268,2.094448,-1.16285,0.053812,0.5602580239144116,0.531070,0.782938,0.87147,9.99769,0.11599,0.01484,10.12853,577.8483,26.0451,0.261198,0.45603,9.99758,0.53967,0.00671,10.54397,359.98,338.32,328.18,318.5,307.84,293.06,258.65,243.89,239.21,236.26,0.0005,0.002,0.0012,0.0083,0.0027,0.0029,0.0219,0.0149,0.0035,0.0544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Na
[Li]OC(=O)O[Li],6,0,1,15.3201,73.8892,474.909,324.4048,-278.865738741,0.020312,0.025422,0.026367,-0.00761,-278.984793,-278.979683,-278.978739,-279.012715,CLi2O3,1.0,-0.23129,-0.03078,0.13103499999999998,0.100255,0.9085,474.909,315.6307,-1.803036,0.889624,5.1e-05,0.4003303964757709,0.507365,0.748850,0.83299,1.99889,0.15647,0.01165,2.16701,90.1837,5.3318,0.235202,0.42751,1.99875,0.56675,0.00698,2.57249,270.97,254.6,244.33,242.9,230.2,229.66,227.6,219.42,206.93,192.41,0.0014,0.0001,0.0,0.0022,0.0159,0.0327,0.0,0.0156,0.0,0.0259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li
