react,fragC,fragO,product
COc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC,c3ccc(c2ccc1ccccc1c2)cc3
COc1ccc2cc([Si](C)(C)C)ccc2c1,*c1ccc2cc([Si](C)(C)C)ccc2c1,*OC,C[Si](C)(C)c3ccc2cc(c1ccccc1)ccc2c3
COc1ccc2cc(N3CCCCC3)ccc2c1,*c1ccc2cc(N3CCCCC3)ccc2c1,*OC,c4ccc(c3ccc2cc(N1CCCCC1)ccc2c3)cc4
COc1ccc2ccc(O)cc2c1,*c1ccc2ccc(O)cc2c1,*OC,Oc3ccc2ccc(c1ccccc1)cc2c3
COc1cccc2ccccc12,*c1cccc2ccccc12,*OC,c3ccc(c1cccc2ccccc12)cc3
COc1ccc(C)cc1,*c1ccc(C)cc1,*OC,Cc2ccc(c1ccc(N(C)C)cc1)cc2
COc1ccc([C@@H](C)N(C)C)cc1,*c1ccc([C@@H](C)N(C)C)cc1,*OC,Cc1ccccc1c2ccc([C@@H](C)N(C)C)cc2
COc1ccc([C@H](C)N(C)C)cc1,*c1ccc([C@H](C)N(C)C)cc1,*OC,Cc1ccccc1c2ccc([C@H](C)N(C)C)cc2
COc1ccc(CO)cc1,*c1ccc(CO)cc1,*OC,Cc1ccccc1c2ccc(CO)cc2
COc1ccc(CCO)cc1,*c1ccc(CCO)cc1,*OC,Cc1ccccc1c2ccc(CCO)cc2
COc1ccc2ncccc2c1,*c1ccc2ncccc2c1,*OC,CN(C)c3ccc(c2ccc1ncccc1c2)cc3
COc1ccc2c(ccn2C)c1,*c1ccc2c(ccn2C)c1,*OC,Cc1ccccc1c3ccc2c(ccn2C)c3
COc1ccc2c(c1)c1ccccc1n2C,*c1ccc2c(c1)c1ccccc1n2C,*OC,Cc1ccccc1c2ccc4c(c2)c3ccccc3n4C
CCOc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OCC,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(C)C,c3ccc(c2ccc1ccccc1c2)cc3
C[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)C,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)(C)[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)C(C)(C)C,c3ccc(c2ccc1ccccc1c2)cc3
CC[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)CC,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)C(C)C,c3ccc(c2ccc1ccccc1c2)cc3
C[Si](C)(Oc1ccc2ccccc2c1)c1ccccc1,*c1ccc2ccccc2c1,*O[Si](C)(C)c1ccccc1,c3ccc(c2ccc1ccccc1c2)cc3
CC[Si](CC)(CC)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](CC)(CC)CC,c3ccc(c2ccc1ccccc1c2)cc3
C=CC[Si](C)(C)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*O[Si](C)(C)CC=C,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)C(C)(C)C,Cc3ccc(c2ccc1ccccc1c2)cc3
CN(C)C(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)N(C)C,Cc3ccc(c2ccc1ccccc1c2)cc3
COc1ccc2cc(C3CC3)ccc2c1,*c1ccc2cc(C3CC3)ccc2c1,*OC,Cc3ccc(c2ccc1cc(C4CC4)ccc1c2)cc3
COCCCCc1ccc2cc(OC)ccc2c1,*OC,*c1ccc2cc(CCCCOC)ccc2c1,Cc3ccc(c2ccc1cc(CCCCOC)ccc1c2)cc3
COc1ccc2cc(-c3ccccc3)ccc2c1,*c1ccc2cc(-c3ccccc3)ccc2c1,*OC,Cc3ccc(c2ccc1cc(c4ccccc4)ccc1c2)cc3
COc1ccc2cc(O[Si](C)(C)C)ccc2c1,*OC,*c1ccc2cc(O[Si](C)(C)C)ccc2c1,Cc3ccc(c2ccc1cc(O[Si](C)(C)C)ccc1c2)cc3
COc1ccc2cc(N3CCCC3)ccc2c1,*c1ccc2cc(N3CCCC3)ccc2c1,*OC,Cc3ccc(c2ccc1cc(N4CCCC4)ccc1c2)cc3
COc1ccc2ccccc2c1C,*c1ccc2ccccc2c1C,*OC,Cc3ccc(c2ccc1ccccc1c2(C))cc3
COc1ccc(-c2ccccc2)cc1,*c1ccc(-c2ccccc2)cc1,*OC,c1ccccc1c2ccc(c3ccc(C)cc3)cc2
COc1ccc(Oc2nc(OC)nc(OC)n2)cc1,*Oc1nc(OC)nc(OC)n1,*c1ccc(OC)cc1,COc2ccc(c1ccccc1)cc2
COc1ccc(OC(=O)N(C)C)cc1,*OC(=O)N(C)C,*c1ccc(OC)cc1,COc2ccc(c1ccccc1)cc2
COc1ccc(OC(=O)C(C)(C)C)cc1,*OC(=O)C(C)(C)C,*c1ccc(OC)cc1,COc2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccccc2OC)n1,*Oc1nc(OC)nc(OC)n1,*c1ccccc1OC,COc1ccccc1c2ccccc2
COc1nc(OC)nc(Oc2ccccc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccccc1,COc2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccccc2C)n1,*Oc1nc(OC)nc(OC)n1,*c1ccccc1C,COc2ccc(c1ccccc1C)cc2
COc1nc(OC)nc(Oc2ccc(C)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C)cc1,COc2ccc(c1ccc(C)cc1)cc2
COc1nc(OC)nc(Oc2cccc3ccccc23)n1,*Oc1nc(OC)nc(OC)n1,*c1cccc2ccccc12,COc3ccc(c1cccc2ccccc12)cc3
COc1nc(OC)nc(Oc2cccc(C)c2)n1,*Oc1nc(OC)nc(OC)n1,*c1cccc(C)c1,COc2ccc(c1cccc(C)c1)cc2
COc1nc(OC)nc(Oc2ccc3ccccc3c2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc2ccccc2c1,COc3ccc(c2ccc1ccccc1c2)cc3
COc1nc(OC)nc(Oc2cc(C)cc(C)c2)n1,*Oc1nc(OC)nc(OC)n1,*c1cc(C)cc(C)c1,COc2ccc(c1cc(C)cc(C)c1)cc2
COc1nc(OC)nc(Oc2ccc(C(C)(C)C)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(C)(C)C)cc1,COc2ccc(c1ccc(C(C)(C)C)cc1)cc2
COc1nc(OC)nc(Oc2cccc(NC(C)=O)c2)n1,*Oc1nc(OC)nc(OC)n1,*c1cccc(NC(C)=O)c1,COc2ccc(c1cccc(NC(C)=O)c1)cc2
COC(=O)c1ccc(Oc2nc(OC)nc(OC)n2)cc1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(=O)OC)cc1,COC(=O)c2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(C#N)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C#N)cc1,N#Cc2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(C=O)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C=O)cc1,O=Cc2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(C(C)=O)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(C)=O)cc1,CC(=O)c2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c2ccc(c1ccccc1)cc2
COc1nc(OC)nc(Oc2ccc(F)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(F)cc1,COc2ccc(c1ccc(F)cc1)cc2
COc1nc(OC)nc(Oc2ccc(C(F)(F)F)cc2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C(F)(F)F)cc1,COc2ccc(c1ccc(C(F)(F)F)cc1)cc2
COc1nc(OC)nc(Oc2ccc(C=O)cc2C)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc(C=O)cc1C,Cc1cc(C=O)ccc1c2ccccc2
COc1nc(OC)nc(Oc2cccnc2)n1,*Oc1nc(OC)nc(OC)n1,*c1cccnc1,c2ccc(c1cccnc1)cc2
COc1nc(OC)nc(Oc2ccc3c(C)cc(=O)oc3c2)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc2c(C)cc(=O)oc2c1,Cc2cc(=O)oc3cc(c1ccccc1)ccc23
COc1nc(OC)nc(Oc2ccc3c(c2)CCC2C3CC[C@]3(C)C(=O)CCC23)n1,*Oc1nc(OC)nc(OC)n1,*c1ccc2c(c1)CCC1C2CC[C@]2(C)C(=O)CCC12,C[C@]45CCC3c2ccc(c1ccccc1)cc2CCC3C4CCC5=O
COc1ccc2cc(-c3ccccn3)ccc2c1,*c1ccc2cc(-c3ccccn3)ccc2c1,*OC,Cn5c(c3ccc2cc(c1ccccn1)ccc2c3)nc4ccccc45
COc1ccc2cc(N(c3ccccc3)c3ccccc3)ccc2c1,*c1ccc2cc(N(c3ccccc3)c3ccccc3)ccc2c1,*OC,Cn6c(c4ccc3cc(N(c1ccccc1)c2ccccc2)ccc3c4)nc5ccccc56
COc1ccc2cc(-c3ccccc3C)ccc2c1,*c1ccc2cc(-c3ccccc3C)ccc2c1,*OC,Cc1ccccc1c5ccc4cc(c3nc2ccccc2n3C)ccc4c5
COc1ccc2cc(-c3cccc(C)c3)ccc2c1,*c1ccc2cc(-c3cccc(C)c3)ccc2c1,*OC,Cc5cccc(c4ccc3cc(c2nc1ccccc1n2C)ccc3c4)c5
COc1ccc2cc(-c3ccc(C)cc3)ccc2c1,*c1ccc2cc(-c3ccc(C)cc3)ccc2c1,*OC,Cc5ccc(c4ccc3cc(c2nc1ccccc1n2C)ccc3c4)cc5
COc1ccc2cc(-c3ccc(C(C)(C)C)cc3)ccc2c1,*c1ccc2cc(-c3ccc(C(C)(C)C)cc3)ccc2c1,*OC,Cn5c(c3ccc2cc(c1ccc(C(C)(C)C)cc1)ccc2c3)nc4ccccc45
COc1ccc2cc(-c3ccccc3-c3cc(C)cc(C)c3)ccc2c1,*c1ccc2cc(-c3ccccc3-c3cc(C)cc(C)c3)ccc2c1,*OC,Cc6cc(C)cc(c1ccccc1c5ccc4cc(c3nc2ccccc2n3C)ccc4c5)c6
COc1ccc2cc(-n3c4ccccc4c4ccccc43)ccc2c1,*c1ccc2cc(-n3c4ccccc4c4ccccc43)ccc2c1,*OC,Cn7c(c5ccc4cc(n3c1ccccc1c2ccccc23)ccc4c5)nc6ccccc67
COc1ccc2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,*c1ccc2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,*OC,Cn8c(c6ccc5cc(c1cc2CCc3cccc4ccc(c1)c2c34)ccc5c6)nc7ccccc78
COc1ccc2cc(/C=C/c3ccccc3)ccc2c1,*c1ccc2cc(/C=C/c3ccccc3)ccc2c1,*OC,Cn5c(c3ccc2cc(/C=C/c1ccccc1)ccc2c3)nc4ccccc45
COc1ccc2ccc(OC(C)C)cc2c1,*OC,*c1ccc2ccc(OC(C)C)cc2c1,CC(C)Oc4ccc3ccc(c2nc1ccccc1n2C)cc3c4
COc1ccc2ccc(N(c3ccccc3)c3ccccc3)cc2c1,*c1ccc2ccc(N(c3ccccc3)c3ccccc3)cc2c1,*OC,Cn6c(c4ccc3ccc(N(c1ccccc1)c2ccccc2)cc3c4)nc5ccccc56
COc1ccc2ccc(-c3ccccc3)cc2c1,*c1ccc2ccc(-c3ccccc3)cc2c1,*OC,Cn5c(c3ccc2ccc(c1ccccc1)cc2c3)nc4ccccc45
COc1ccc2ccc(-c3ccc(C)cc3)cc2c1,*c1ccc2ccc(-c3ccc(C)cc3)cc2c1,*OC,Cc5ccc(c4ccc3ccc(c2nc1ccccc1n2C)cc3c4)cc5
COc1ccc2ccc(-c3ccc(C(C)(C)C)cc3)cc2c1,*c1ccc2ccc(-c3ccc(C(C)(C)C)cc3)cc2c1,*OC,Cn5c(c3ccc2ccc(c1ccc(C(C)(C)C)cc1)cc2c3)nc4ccccc45
COc1ccc2ccccc2c1-c1ccccc1,*c1ccc2ccccc2c1-c1ccccc1,*OC,Cn5c(c2ccc1ccccc1c2c3ccccc3)nc4ccccc45
COc1ccccc1,*c1ccccc1,*OC,Cn3c(c1ccccc1)nc2ccccc23
COc1ccccc1C,*c1ccccc1C,*OC,Cc1ccccc1c3nc2ccccc2n3C
COc1cccc(C)c1,*c1cccc(C)c1,*OC,Cc3cccc(c2nc1ccccc1n2C)c3
COc1cc(C)cc(C)c1,*c1cc(C)cc(C)c1,*OC,Cc3cc(C)cc(c2nc1ccccc1n2C)c3
CCc1ccc(OC)cc1,*OC,*c1ccc(CC)cc1,CCc3ccc(c2nc1ccccc1n2C)cc3
COc1ccc(C(C)(C)C)cc1,*c1ccc(C(C)(C)C)cc1,*OC,Cn3c(c1ccc(C(C)(C)C)cc1)nc2ccccc23
COc1cccc(-c2ccccc2)c1,*c1cccc(-c2ccccc2)c1,*OC,Cn4c(c2cccc(c1ccccc1)c2)nc3ccccc34
COc1cccc(-c2ccc(C)cc2)c1,*c1cccc(-c2ccc(C)cc2)c1,*OC,Cc4ccc(c3cccc(c2nc1ccccc1n2C)c3)cc4
COc1cccc(-c2ccc(C(C)(C)C)cc2)c1,*c1cccc(-c2ccc(C(C)(C)C)cc2)c1,*OC,Cn4c(c2cccc(c1ccc(C(C)(C)C)cc1)c2)nc3ccccc34
COc1cccc(N(c2ccccc2)c2ccccc2)c1,*c1cccc(N(c2ccccc2)c2ccccc2)c1,*OC,Cn5c(c3cccc(N(c1ccccc1)c2ccccc2)c3)nc4ccccc45
COc1ccc(N(c2ccccc2)c2ccccc2)cc1,*c1ccc(N(c2ccccc2)c2ccccc2)cc1,*OC,Cn5c(c3ccc(N(c1ccccc1)c2ccccc2)cc3)nc4ccccc45
COc1cccc(N(C)C)c1,*c1cccc(N(C)C)c1,*OC,CN(C)c3cccc(c2nc1ccccc1n2C)c3
COc1ccc(N(C)C)cc1,*c1ccc(N(C)C)cc1,*OC,CN(C)c3ccc(c2nc1ccccc1n2C)cc3
COc1ccc(/C=C/c2ccccc2)cc1,*c1ccc(/C=C/c2ccccc2)cc1,*OC,Cn4c(c2ccc(/C=C/c1ccccc1)cc2)nc3ccccc34
COc1ccc(-n2cccc2)cc1,*c1ccc(-n2cccc2)cc1,*OC,Cn4c(c2ccc(n1cccc1)cc2)nc3ccccc34
COc1ccc(-n2c3ccccc3c3ccccc32)cc1,*c1ccc(-n2c3ccccc3c3ccccc32)cc1,*OC,Cn6c(c4ccc(n3c1ccccc1c2ccccc23)cc4)nc5ccccc56
COc1ccc2c(c1)CCC1C2CC[C@@]2(C)C1CC[C@@H]2OC,*c1ccc2c(c1)CCC1C2CC[C@@]2(C)C1CC[C@@H]2OC,*OC,CO[C@H]5CCC6C4CCc3cc(c2nc1ccccc1n2C)ccc3C4CC[C@]56C
COc1ccc2cc(Br)ccc2c1,*c1ccc2cc(Br)ccc2c1,*OC,Cn4c(c2ccc1cc(Br)ccc1c2)nc3ccccc34
COc1ccc2cc(F)ccc2c1,*c1ccc2cc(F)ccc2c1,*OC,Cn4c(c2ccc1cc(F)ccc1c2)nc3ccccc34
COc1ccc2cc(C(F)(F)F)ccc2c1,*c1ccc2cc(C(F)(F)F)ccc2c1,*OC,Cn4c(c2ccc1cc(C(F)(F)F)ccc1c2)nc3ccccc34
COc1ccc2cc(C#N)ccc2c1,*c1ccc2cc(C#N)ccc2c1,*OC,Cn4c(c2ccc1cc(C#N)ccc1c2)nc3ccccc34
COc1ccc2cc(C(C)=O)ccc2c1,*c1ccc2cc(C(C)=O)ccc2c1,*OC,CC(=O)c4ccc3cc(c2nc1ccccc1n2C)ccc3c4
COc1ccc2cc(Oc3ccccc3)ccc2c1,*OC,*c1ccc2cc(Oc3ccccc3)ccc2c1,Cn5c(c3ccc2cc(Oc1ccccc1)ccc2c3)nc4ccccc45
COc1ccc(Br)cc1,*c1ccc(Br)cc1,*OC,Cn3c(c1ccc(Br)cc1)nc2ccccc23
COc1ccc(I)cc1,*c1ccc(I)cc1,*OC,Cn3c(c1ccc(I)cc1)nc2ccccc23
COc1ccc(C(F)(F)F)cc1,*c1ccc(C(F)(F)F)cc1,*OC,Cn3c(c1ccc(C(F)(F)F)cc1)nc2ccccc23
COc1ccc(C#N)cc1,*c1ccc(C#N)cc1,*OC,Cn3c(c1ccc(C#N)cc1)nc2ccccc23
COc1ccc([N+](=O)[O-])cc1,*c1ccc([N+](=O)[O-])cc1,*OC,Cn3c(c1ccc([N+](=O)[O-])cc1)nc2ccccc23
COc1ccc(C(Cl)c2ccccc2)cc1,*c1ccc(C(Cl)c2ccccc2)cc1,*OC,Cn4c(c2ccc(C(Cl)c1ccccc1)cc2)nc3ccccc34
COc1cccc(C(F)(F)F)c1,*c1cccc(C(F)(F)F)c1,*OC,Cn3c(c1cccc(C(F)(F)F)c1)nc2ccccc23
COc1cccc(C#N)c1,*c1cccc(C#N)c1,*OC,Cn3c(c1cccc(C#N)c1)nc2ccccc23
COc1cccc([N+](=O)[O-])c1,*c1cccc([N+](=O)[O-])c1,*OC,Cn3c(c1cccc([N+](=O)[O-])c1)nc2ccccc23
COc1cccc(C(C)=O)c1,*c1cccc(C(C)=O)c1,*OC,CC(=O)c3cccc(c2nc1ccccc1n2C)c3
COC(=O)c1cccc(OC)c1,*OC,*c1cccc(C(=O)OC)c1,COC(=O)c3cccc(c2nc1ccccc1n2C)c3
CC(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(C)=O,c3ccc(c2ccc1ccccc1c2)cc3
CCC(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)CC,c3ccc(c2ccc1ccccc1c2)cc3
CC(C)C(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)C(C)C,c3ccc(c2ccc1ccccc1c2)cc3
O=C(Oc1ccc2ccccc2c1)C(F)(F)F,*c1ccc2ccccc2c1,*OC(=O)C(F)(F)F,c3ccc(c2ccc1ccccc1c2)cc3
O=C(Oc1ccc2ccccc2c1)c1ccccc1,*c1ccc2ccccc2c1,*OC(=O)c1ccccc1,c3ccc(c2ccc1ccccc1c2)cc3
O=C(Oc1ccc2ccccc2c1)c1ccccn1,*c1ccc2ccccc2c1,*OC(=O)c1ccccn1,c3ccc(c2ccc1ccccc1c2)cc3
Cc1cc(C)c(C(=O)Oc2ccc3ccccc3c2)c(C)c1,*c1ccc2ccccc2c1,*OC(=O)c1c(C)cc(C)cc1C,c3ccc(c2ccc1ccccc1c2)cc3
O=C(Oc1ccc2ccccc2c1)c1c(Cl)cccc1Cl,*c1ccc2ccccc2c1,*OC(=O)c1c(Cl)cccc1Cl,c3ccc(c2ccc1ccccc1c2)cc3
CC(=O)Oc1ccc2cc(C(C)=O)ccc2c1,*c1ccc2cc(C(C)=O)ccc2c1,*OC(C)=O,CC(=O)c3ccc2cc(c1ccccc1)ccc2c3
COCc1ccc2cc(OC(C)=O)ccc2c1,*OC(C)=O,*c1ccc2cc(COC)ccc2c1,COCc3ccc2cc(c1ccccc1)ccc2c3
COC(=O)c1ccc2cc(OC(C)=O)ccc2c1,*c1ccc2cc(C(=O)OC)ccc2c1,*OC(C)=O,COC(=O)c3ccc2cc(c1ccccc1)ccc2c3
COCOc1ccc2cc(OC(C)=O)ccc2c1,*OC(C)=O,*c1ccc2cc(OCOC)ccc2c1,COCOc3ccc2cc(c1ccccc1)ccc2c3
COc1ccc2cc(OC(C)=O)ccc2c1,*OC(C)=O,*c1ccc2cc(OC)ccc2c1,COc3ccc2cc(c1ccccc1)ccc2c3
CC(=O)Oc1ccc2cc(O)ccc2c1,*c1ccc2cc(O)ccc2c1,*OC(C)=O,Oc3ccc2cc(c1ccccc1)ccc2c3
COCc1c(OC)ccc2cc(OC(C)=O)ccc12,*OC(C)=O,*c1ccc2c(COC)c(OC)ccc2c1,COCc2c(OC)ccc3cc(c1ccccc1)ccc23
CC(=O)Oc1ccc2cc(-c3ccccc3)ccc2c1,*c1ccc2cc(-c3ccccc3)ccc2c1,*OC(C)=O,c4cc(CCCC)ccc4c3ccc2cc(c1ccccc1)ccc2c3
COc1ccc(-c2ccc3cc(OC(C)=O)ccc3c2)cc1,*OC(C)=O,*c1ccc2cc(-c3ccc(OC)cc3)ccc2c1,COc4ccc(c3ccc2cc(c1ccc(CCCC)cc1)ccc2c3)cc4
CC(=O)Oc1cccc2ccccc12,*c1cccc2ccccc12,*OC(C)=O,c3ccc(c1cccc2ccccc12)cc3
