react,C0C7_num
[Li]c1ccccc1,[Li][c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
[Li]c1ccccc1C,[Li][c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1[CH3:1]
[Li]c1c(C)cc(C)cc1C,[Li][c:1]1[c:1]([CH3:1])[cH:1][c:1]([CH3:1])[cH:1][c:1]1[CH3:1]
[Li]c1ccc(C(C)(C)C)cc1,[Li][c:1]1[cH:1][cH:1][c:1]([C:1]([CH3:1])([CH3:1])[CH3:1])[cH:1][cH:1]1
[Li]c1ccc(OC)cc1,[Li][c:1]1[cH:1][cH:1][c:1]([O:1][CH3:1])[cH:1][cH:1]1
[Li]c1ccc(O[Si](C)(C)C(C)(C)C)cc1,[Li][c:1]1[cH:1][cH:1][c:1]([O:1][Si:1]([CH3:1])([CH3:1])[C:1]([CH3:1])([CH3:1])[CH3:1])[cH:1][cH:1]1
[Li]c1ccccc1OCOC,[Li][c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1[O:1][CH2:1][O:1][CH3:1]
[Li]c1ccc(N(C)C)cc1,[Li][c:1]1[cH:1][cH:1][c:1]([N:1]([CH3:1])[CH3:1])[cH:1][cH:1]1
[Li]c1cccc2ccccc12,[Li][c:1]1[cH:1][cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]12
[Li]c1ccc(O[Si](C)(C)C)cc1,[Li][c:1]1[cH:1][cH:1][c:1]([O:1][Si:1]([CH3:1])([CH3:1])[CH3:1])[cH:1][cH:1]1
[Li]c1cccc(O[Si](C)(C)C(C)(C)C)c1,[Li][c:1]1[cH:1][cH:1][cH:1][c:1]([O:1][Si:1]([CH3:1])([CH3:1])[C:1]([CH3:1])([CH3:1])[CH3:1])[cH:1]1
[Li]c1cccn1C,[Li][c:1]1[cH:1][cH:1][cH:1][n:1]1[CH3:1]
[Li]c1cc2ccccc2n1C,[Li][c:1]1[cH:1][c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2[n:1]1[CH3:1]
[Li]c1ccc2ccn(C)c2c1,[Li][c:1]1[cH:1][cH:1][c:1]2[cH:1][cH:1][n:1]([CH3:1])[c:1]2[cH:1]1
[Li]c1ccc2c3ccccc3n(CC)c2c1,[Li][c:1]1[cH:1][cH:1][c:1]2[c:1]3[cH:1][cH:1][cH:1][cH:1][c:1]3[n:1]([CH2:1][CH3:1])[c:1]2[cH:1]1
[Li]C=CCCCCCCCC,[Li][CH:1]=[CH:1][CH2:1][CH2:1][CH2:1][CH2:1][CH2:1][CH2:1][CH2:1][CH3:1]
[Li]C1=CCCCC1,[Li][C:1]1=[CH:1][CH2:1][CH2:1][CH2:1][CH2:1]1
[Li]C1CC1,[Li][CH:1]1[CH2:1][CH2:1]1
[Li]C,[Li][CH3:1]
[Li][Zn]([Li])(C)(C)(C)c1ccccc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccccc1C,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1[CH3:1]
[Li][Zn]([Li])(C)(C)(C)c1cccc(C)c1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][c:1]([CH3:1])[cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccc(C)cc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][c:1]([CH3:1])[cH:1][cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccc(OC)cc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][c:1]([O:1][CH3:1])[cH:1][cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1cccc2ccccc12,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]12
Cc1ccc([Mg]Br)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([CH3:1])[cH:1][cH:1]1
Cc1ccc([Zn]Br)cc1,[Zn]([Br:1])[c:1]1[cH:1][cH:1][c:1]([CH3:1])[cH:1][cH:1]1
Cc1ccc([Mg]Cl)cc1,[Mg]([Cl:1])[c:1]1[cH:1][cH:1][c:1]([CH3:1])[cH:1][cH:1]1
Cc1ccc([Mg]I)cc1,[Mg]([I:1])[c:1]1[cH:1][cH:1][c:1]([CH3:1])[cH:1][cH:1]1
Br[Mg]c1ccccc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
CC(C)c1ccc([Mg]Br)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([CH:1]([CH3:1])[CH3:1])[cH:1][cH:1]1
CC(C)(C)c1ccc([Mg]Br)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([C:1]([CH3:1])([CH3:1])[CH3:1])[cH:1][cH:1]1
Cc1cccc([Mg]Br)c1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][cH:1][c:1]([CH3:1])[cH:1]1
Cc1ccccc1[Mg]Br,[Mg]([Br:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1[CH3:1]
COc1ccc([Mg]Br)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([O:1][CH3:1])[cH:1][cH:1]1
CN(C)c1ccc([Mg]Br)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([N:1]([CH3:1])[CH3:1])[cH:1][cH:1]1
Cc1cc(C)cc([Mg]Br)c1,[Mg]([Br:1])[c:1]1[cH:1][c:1]([CH3:1])[cH:1][c:1]([CH3:1])[cH:1]1
COc1cc(OC)cc([Mg]Br)c1,[Mg]([Br:1])[c:1]1[cH:1][c:1]([O:1][CH3:1])[cH:1][c:1]([O:1][CH3:1])[cH:1]1
FC(F)(F)c1ccc([Mg]Br)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([C:1]([F:1])([F:1])[F:1])[cH:1][cH:1]1
[K+],[K+]
O=C(O[Cs])O[Cs],[Cs][O:1][C:1](=[O:1])[O:1][Cs:2]
[Li]Cl,[Li][Cl:1]
Cl[Mg]Cl,[Mg]([Cl:1])[Cl:1]
Cl[Cs],[Cs][Cl:1]
C[Mg]Br,[Mg]([CH3:1])[Br:1]
CC[Mg]Br,[Mg]([Br:1])[CH2:1][CH3:1]
Br[Mg]C1CCCCC1,[Mg]([Br:1])[CH:1]1[CH2:1][CH2:1][CH2:1][CH2:1][CH2:1]1
Br[Mg]Cc1ccccc1,[Mg]([Br:1])[CH2:1][c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
C[Mg]I,[Mg]([CH3:1])[I:1]
O=S(=O)(O[Sc](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F,[Sc]([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])[O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1]
CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C,[Ti]([O:1][CH:1]([CH3:1])[CH3:1])([O:1][CH:1]([CH3:1])[CH3:1])([O:1][CH:1]([CH3:1])[CH3:1])[O:1][CH:1]([CH3:1])[CH3:1]
Cl[Al](Cl)Cl,[Al]([Cl:1])([Cl:1])[Cl:1]
Cc1cccc(C)c1[Mg]Br,[Mg]([Br:1])[c:1]1[c:1]([CH3:1])[cH:1][cH:1][cH:1][c:1]1[CH3:1]
Cc1cc(C)c([Mg]Br)c(C)c1,[Mg]([Br:1])[c:1]1[c:1]([CH3:1])[cH:1][c:1]([CH3:1])[cH:1][c:1]1[CH3:1]
Cl[Mg]c1ccccc1,[Mg]([Cl:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
O=C(O[Na])O[Na],[Na][O:1][C:1](=[O:1])[O:1][Na:2]
F[Cs],[Cs][F:1]
[Na]I,[Na][I:1]
C[Si](C)(C)Cl,[Si]([CH3:1])([CH3:1])([CH3:1])[Cl:1]
Cl[Zn]Cl,[Zn]([Cl:1])[Cl:1]
CC[N+](CC)(CC)CC,[N+]([CH2:1][CH3:1])([CH2:1][CH3:1])([CH2:1][CH3:1])[CH2:1][CH3:1]
O=P(O)(O[Na])O[Na],[Na][O:1][P:1](=[O:1])([OH:1])[O:1][Na:2]
O=P(O[Na])(O[Na])O[Na],[Na][O:1][P:1](=[O:1])([O:1][Na:2])[O:1][Na:3]
[Rb+],[Rb+]
[Li]OC(=O)O[Li],[Li][O:1][C:1](=[O:1])[O:1][Li:2]
CC(C)(C)C(=O)O[Cs],[Cs][O:1][C:1](=[O:1])[C:1]([CH3:1])([CH3:1])[CH3:1]
F[Cu]F,[Cu]([F:1])[F:1]
CCCC[N+](CCCC)(CCCC)CCCC,[N+]([CH2:1][CH2:1][CH2:1][CH3:1])([CH2:1][CH2:1][CH2:1][CH3:1])([CH2:1][CH2:1][CH2:1][CH3:1])[CH2:1][CH2:1][CH2:1][CH3:1]
Br[Cu]Br,[Cu]([Br:1])[Br:1]
O=S1(=O)O[Cu]O1,[Cu]1[O:1][S:1](=[O:1])(=[O:1])[O:1]1
[Cu]I,[Cu][I:1]
F[Mg]F,[Mg]([F:1])[F:1]
F[Ag],[Ag][F:1]
F[Fe](F)F,[Fe]([F:1])([F:1])[F:1]
F[Zn]F,[Zn]([F:1])[F:1]
[Cs+],[Cs+]
CC(C)(C)O[Na],[Na][O:1][C:1]([CH3:1])([CH3:1])[CH3:1]
[Li]OC(C)(C)C,[Li][O:1][C:1]([CH3:1])([CH3:1])[CH3:1]
OB(O)c1ccccc1,B([OH:1])([OH:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
CC(=O)O[Cu]OC(C)=O,[Cu]([O:1][C:1]([CH3:1])=[O:1])[O:1][C:1]([CH3:1])=[O:1]
C[Al](C)C,[Al]([CH3:1])([CH3:1])[CH3:1]
F[Sr]F,[Sr]([F:1])[F:1]
[Li][Zn]([Li])(C)(C)(C)c1cccc(OC)c1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][c:1]([O:1][CH3:1])[cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccc(N(C)C)cc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][c:1]([N:1]([CH3:1])[CH3:1])[cH:1][cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccc(CCO[Si](C)(C)C(C)(C)C)cc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][c:1]([CH2:1][CH2:1][O:1][Si:1]([CH3:1])([CH3:1])[C:1]([CH3:1])([CH3:1])[CH3:1])[cH:1][cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccc(CO[Si](C)(C)C(C)(C)C)cc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][c:1]([CH2:1][O:1][Si:1]([CH3:1])([CH3:1])[C:1]([CH3:1])([CH3:1])[CH3:1])[cH:1][cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccc(C2(C)OCCO2)cc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][c:1]([C:1]2([CH3:1])[O:1][CH2:1][CH2:1][O:1]2)[cH:1][cH:1]1
[Li][Zn]([Li])(C)(C)(C)c1ccc(-c2ccccc2)cc1,[Zn]([Li:1])([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][c:1](-[c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)[cH:1][cH:1]1
CCC[N+](CCC)(CCC)CCC,[N+]([CH2:1][CH2:1][CH3:1])([CH2:1][CH2:1][CH3:1])([CH2:1][CH2:1][CH3:1])[CH2:1][CH2:1][CH3:1]
C[N+](C)(C)C,[N+]([CH3:1])([CH3:1])([CH3:1])[CH3:1]
[Li]I,[Li][I:1]
[Li]OC(=O)C(C)(C)C,[Li][O:1][C:1](=[O:1])[C:1]([CH3:1])([CH3:1])[CH3:1]
Br[Mg]Br,[Mg]([Br:1])[Br:1]
Br[Mg]c1ccc(N(c2ccccc2)c2ccccc2)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([N:1]([c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)[c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)[cH:1][cH:1]1
Br[Mg]c1ccc2ccccc2c1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2[cH:1]1
O[Na],[Na][OH:1]
CCO[Na],[Na][O:1][CH2:1][CH3:1]
C[Si](C)(C)C[Mg]Cl,[Mg]([Cl:1])[CH2:1][Si:1]([CH3:1])([CH3:1])[CH3:1]
C=C[Mg]Br,[Mg]([Br:1])[CH:1]=[CH2:1]
CC1(C)COB(c2ccccc2)OC1,B1([c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
Cc1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:1][cH:1][c:1]([CH3:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CN(C)c1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:1][cH:1][c:1]([N:1]([CH3:1])[CH3:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CC1(C)COB(c2ccc(C(F)(F)F)cc2)OC1,B1([c:1]2[cH:1][cH:1][c:1]([C:1]([F:1])([F:1])[F:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CC(C)C[Al](CC(C)C)c1ccccc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
[Li][Al](C)(C)(C)c1ccccc1,[Al]([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
C[Al](C)c1ccccc1,[Al]([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
Cc1ccccc1[Al](CC(C)C)CC(C)C,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1[CH3:1]
Cc1ccc([Al](CC(C)C)CC(C)C)cc1C,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([CH3:1])[c:1]([CH3:1])[cH:1]1
COc1ccc([Al](CC(C)C)CC(C)C)cc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([O:1][CH3:1])[cH:1][cH:1]1
CC(C)C[Al](CC(C)C)c1ccc(C(F)(F)F)cc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([C:1]([F:1])([F:1])[F:1])[cH:1][cH:1]1
Cc1cccc(C)c1[Al](CC(C)C)CC(C)C,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[c:1]([CH3:1])[cH:1][cH:1][cH:1][c:1]1[CH3:1]
COc1cc(OC)cc([Al](CC(C)C)CC(C)C)c1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][c:1]([O:1][CH3:1])[cH:1][c:1]([O:1][CH3:1])[cH:1]1
CC(C)C[Al](CC(C)C)c1ccc(F)cc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([F:1])[cH:1][cH:1]1
CC(C)C[Al](C#C[Si](C(C)C)(C(C)C)C(C)C)CC(C)C,[Al]([C:1]#[C:1][Si:1]([CH:1]([CH3:1])[CH3:1])([CH:1]([CH3:1])[CH3:1])[CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[CH2:1][CH:1]([CH3:1])[CH3:1]
CC(C)=C[Al](CC(C)C)CC(C)C,[Al]([CH:1]=[C:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[CH2:1][CH:1]([CH3:1])[CH3:1]
c1ccc([Al](c2ccccc2)c2ccccc2)cc1,[Al]([c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)([c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
CC1(C)COB(c2ccc(F)cc2)OC1,B1([c:1]2[cH:1][cH:1][c:1]([F:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CC(C)(C)O[Al](OC(C)(C)C)OC(C)(C)C,[Al]([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])[O:1][C:1]([CH3:1])([CH3:1])[CH3:1]
FB(F)F,B([F:1])([F:1])[F:1]
BrB(Br)Br,B([Br:1])([Br:1])[Br:1]
O=S(=O)(O[Y](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F,[Y]([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])[O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1]
O=S(=O)(O[Al](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F,[Al]([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])[O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1]
O=S(=O)(O[Zn]OS(=O)(=O)C(F)(F)F)C(F)(F)F,[Zn]([O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1])[O:1][S:1](=[O:1])(=[O:1])[C:1]([F:1])([F:1])[F:1]
CCB(CC)CC,B([CH2:1][CH3:1])([CH2:1][CH3:1])[CH2:1][CH3:1]
COB(OC)OC,B([O:1][CH3:1])([O:1][CH3:1])[O:1][CH3:1]
CC(C)(C)O[Zr](OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C,[Zr]([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])([O:1][C:1]([CH3:1])([CH3:1])[CH3:1])[O:1][C:1]([CH3:1])([CH3:1])[CH3:1]
CC(C)O[Y](OC(C)C)OC(C)C,[Y]([O:1][CH:1]([CH3:1])[CH3:1])([O:1][CH:1]([CH3:1])[CH3:1])[O:1][CH:1]([CH3:1])[CH3:1]
CC(=O)O[Ag],[Ag][O:1][C:1]([CH3:1])=[O:1]
Cl[Zr](Cl)(Cl)Cl,[Zr]([Cl:1])([Cl:1])([Cl:1])[Cl:1]
