,react,C0C7_num
132,OB(O)c1ccc2ccccc2c1,B([c:1]1[cH:2][cH:6][c:6]2[cH:6][cH:6][cH:6][cH:6][c:6]2[cH:3]1)([OH:4])[OH:5]
133,OB(O)c1ccco1,B([c:1]1[cH:2][cH:6][cH:6][o:3]1)([OH:4])[OH:5]
134,OB(O)c1cc2ccccc2o1,B([c:1]1[cH:2][c:6]2[cH:6][cH:6][cH:6][cH:6][c:6]2[o:3]1)([OH:4])[OH:5]
135,Cc1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
136,COc1cccc(B(O)O)c1,B([c:1]1[cH:2][cH:6][cH:6][c:6]([O:6][CH3:6])[cH:3]1)([OH:4])[OH:5]
137,OB(O)c1ccccc1F,B([c:1]1[cH:2][cH:6][cH:6][cH:6][c:3]1[F:6])([OH:4])[OH:5]
138,CC1(C)COB(c2ccccc2)OC1,B1([c:1]2[cH:2][cH:6][cH:6][cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
139,CC1(C)COB(c2ccc(C(C)(C)C)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6]([C:6]([CH3:6])([CH3:6])[CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
140,CC1(C)COB(c2ccc(-c3ccccc3)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6](-[c:6]3[cH:6][cH:6][cH:6][cH:6][cH:6]3)[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
141,CN(C)c1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([N:6]([CH3:6])[CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
142,COC(=O)c1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([C:6](=[O:6])[O:6][CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
143,CC1(C)COB(c2ccc(F)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6]([F:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
144,CC1(C)COB(c2cccc3ccccc23)OC1,B1([c:1]2[cH:2][cH:6][cH:6][c:6]3[c:3]2[cH:6][cH:6][cH:6][cH:6]3)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
145,CC1(C)COB(c2ccc3c(c2)OCO3)OC1,B1([c:1]2[cH:2][cH:6][c:6]3[c:6]([cH:3]2)[O:6][CH2:6][O:6]3)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
146,Cn1ccc2cc(B3OCC(C)(C)CO3)ccc21,B1([c:1]2[cH:2][c:6]3[cH:6][cH:6][n:6]([CH3:6])[c:6]3[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
147,Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([CH3:6])[cH:6][cH:3]2)[O:4][C:6]([CH3:6])([CH3:6])[C:6]([CH3:6])([CH3:6])[O:5]1
148,Cc1cccc(C)c1B(O)O,B([c:1]1[c:2]([CH3:6])[cH:6][cH:6][cH:6][c:3]1[CH3:6])([OH:4])[OH:5]
149,OB(O)c1ccoc1,B([c:1]1[cH:2][cH:6][o:6][cH:3]1)([OH:4])[OH:5]
150,CCO[Si](OCC)(OCC)c1ccc(C)cc1,[Si]([c:1]1[cH:2][cH:12][c:13]([CH3:14])[cH:15][cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:19][CH2:18][CH3:17]
151,CCO[Si](OCC)(OCC)c1cccc(C)c1,[Si]([c:1]1[cH:2][cH:12][cH:13][c:14]([CH3:15])[cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:19][CH2:18][CH3:17]
152,CCO[Si](OCC)(OCC)c1ccc(OC)cc1,[Si]([c:1]1[cH:2][cH:12][c:13]([O:14][CH3:15])[cH:16][cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:20][CH2:19][CH3:18]
153,CCO[Si](OCC)(OCC)c1ccccc1OC,[Si]([c:1]1[cH:2][cH:12][cH:13][cH:14][c:3]1[O:16][CH3:17])([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:20][CH2:19][CH3:18]
154,CCO[Si](OCC)(OCC)c1ccccc1,[Si]([c:1]1[cH:2][cH:12][cH:13][cH:14][cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:18][CH2:17][CH3:16]
155,CO[Si](OC)(OC)c1ccccc1,[Si]([c:1]1[cH:2][cH:9][cH:10][cH:11][cH:3]1)([O:5][CH3:6])([O:14][CH3:13])[O:15][CH3:4]
156,C[Si](C)(O)c1ccccc1,[Si]([c:1]1[cH:2][cH:6][cH:7][cH:8][cH:3]1)([CH3:10])([CH3:11])[OH:12]
157,CCO[Si](OCC)(OCC)c1ccc(C(C)(C)C)cc1,[Si]([c:1]1[cH:2][cH:12][c:13]([C:14]([CH3:15])([CH3:16])[CH3:17])[cH:18][cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:22][CH2:21][CH3:20]
158,CCO[Si](OCC)(OCC)c1ccc(F)cc1,[Si]([c:1]1[cH:2][cH:12][c:13]([F:14])[cH:15][cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:19][CH2:18][CH3:17]
159,CCO[Si](OCC)(OCC)c1ccc(C(=O)OC)cc1,[Si]([c:1]1[cH:2][cH:12][c:13]([C:14](=[O:15])[O:16][CH3:17])[cH:18][cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:22][CH2:21][CH3:20]
160,CCO[Si](OCC)(OCC)c1ccc(C(F)(F)F)cc1,[Si]([c:1]1[cH:2][cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:22][CH2:21][CH3:20]
161,CCO[Si](OCC)(OCC)c1cccc(OC)c1,[Si]([c:1]1[cH:2][cH:12][cH:13][c:14]([O:15][CH3:16])[cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:20][CH2:19][CH3:18]
162,CCO[Si](OCC)(OCC)c1ccccc1C,[Si]([c:1]1[cH:2][cH:12][cH:13][cH:14][c:3]1[CH3:16])([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:19][CH2:18][CH3:17]
163,CCO[Si](OCC)(OCC)c1cc(C)cc(C)c1,[Si]([c:1]1[cH:2][c:12]([CH3:13])[cH:14][c:15]([CH3:16])[cH:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:20][CH2:19][CH3:18]
164,CCO[Si](OCC)(OCC)c1cc(C)ccc1C,[Si]([c:1]1[cH:2][c:12]([CH3:13])[cH:14][cH:15][c:3]1[CH3:17])([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:20][CH2:19][CH3:18]
165,CCO[Si](OCC)(OCC)c1cccc2ccccc12,[Si]([c:1]1[cH:2][cH:12][cH:13][c:14]2[c:3]1[cH:18][cH:17][cH:16][cH:15]2)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:22][CH2:21][CH3:20]
166,CCO[Si](OCC)(OCC)c1cccs1,[Si]([c:1]1[cH:2][cH:12][cH:13][s:3]1)([O:4][CH2:5][CH3:6])([O:7][CH2:8][CH3:9])[O:17][CH2:16][CH3:15]
168,[Li][Zn]([Li])(C)(C)(C)c1cccc(OC)c1,[Zn]([c:1]1[cH:2][cH:4][cH:4][c:4]([O:4][CH3:4])[cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
169,[Li][Zn]([Li])(C)(C)(C)c1ccc(N(C)C)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4]([N:4]([CH3:4])[CH3:4])[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
170,[Li][Zn]([Li])(C)(C)(C)c1ccc(CCO[Si](C)(C)C(C)(C)C)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4]([CH2:4][CH2:4][O:4][Si:4]([CH3:4])([CH3:4])[C:4]([CH3:4])([CH3:4])[CH3:4])[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
171,[Li][Zn]([Li])(C)(C)(C)c1ccc(CO[Si](C)(C)C(C)(C)C)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4]([CH2:4][O:4][Si:4]([CH3:4])([CH3:4])[C:4]([CH3:4])([CH3:4])[CH3:4])[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
172,[Li][Zn]([Li])(C)(C)(C)c1ccc(C2(C)OCCO2)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4]([C:4]2([CH3:4])[O:4][CH2:4][CH2:4][O:4]2)[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
173,[Li][Zn]([Li])(C)(C)(C)c1ccc(-c2ccccc2)cc1,[Zn]([c:1]1[cH:2][cH:4][c:4](-[c:4]2[cH:4][cH:4][cH:4][cH:4][cH:4]2)[cH:4][cH:3]1)([Li:4])([Li:4])([CH3:4])([CH3:4])[CH3:4]
174,Br[Mg]c1ccc2ccccc2c1,[Mg]([c:1]1[cH:2][cH:4][c:4]2[cH:4][cH:4][cH:4][cH:4][c:4]2[cH:3]1)[Br:4]
175,Br[Mg]c1cccc2ccccc12,[Mg]([c:1]1[cH:2][cH:4][cH:4][c:4]2[c:3]1[cH:4][cH:4][cH:4][cH:4]2)[Br:4]
176,Br[Mg]c1cc2ccccc2c2ccccc12,[Mg]([c:1]1[cH:2][c:4]2[cH:4][cH:4][cH:4][cH:4][c:4]2[c:4]2[c:3]1[cH:4][cH:4][cH:4][cH:4]2)[Br:4]
177,Cc1cc(C)c([Mg]Br)c(C)c1,[Mg]([c:1]1[c:2]([CH3:4])[cH:4][c:4]([CH3:4])[cH:4][c:3]1[CH3:4])[Br:4]
178,Cc1cccc(C)c1[Mg]Br,[Mg]([c:1]1[c:2]([CH3:4])[cH:4][cH:4][cH:4][c:3]1[CH3:4])[Br:4]
179,Br[Mg]c1ccc(N(c2ccccc2)c2ccccc2)cc1,[Mg]([c:1]1[cH:2][cH:4][c:4]([N:4]([c:4]2[cH:4][cH:4][cH:4][cH:4][cH:4]2)[c:4]2[cH:4][cH:4][cH:4][cH:4][cH:4]2)[cH:4][cH:3]1)[Br:4]
180,F[B-](F)(F)c1ccccc1.[K+],[B-]([c:1]1[cH:2][cH:4][cH:4][cH:4][cH:3]1)([F:4])([F:4])[F:4].[K+:4]
181,[Na+].c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,[B-]([c:1]1[cH:2][cH:6][cH:6][cH:6][cH:3]1)([c:4]1[cH:6][cH:6][cH:6][cH:6][cH:6]1)([c:5]1[cH:6][cH:6][cH:6][cH:6][cH:6]1)[c:7]1[cH:6][cH:6][cH:6][cH:6][cH:6]1.[Na+:6]
182,COc1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([O:6][CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
183,Cc1ccccc1B1OCC(C)(C)CO1,B1([c:1]2[cH:2][cH:6][cH:6][cH:6][c:3]2[CH3:6])[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
184,CC1(C)COB(c2ccccc2F)OC1,B1([c:1]2[cH:2][cH:6][cH:6][cH:6][c:3]2[F:6])[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
185,CC1(C)COB(c2ccc(C(F)(F)F)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6]([C:6]([F:6])([F:6])[F:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
186,CC(=O)c1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([C:6]([CH3:6])=[O:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
187,CC1(C)COB(c2ccc([Si](C)(C)C)cc2)OC1,B1([c:1]2[cH:2][cH:6][c:6]([Si:6]([CH3:6])([CH3:6])[CH3:6])[cH:6][cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
188,c1ccc2c(c1)ncn2CCN1CCOCC1,[c:1]([H:0])1[n:2][c:5]2[c:4]([n:3]1[CH2:9][CH2:10][N:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1)[cH:21][cH:22][cH:18][cH:20]2
189,COCn1cnc2ccccc21,[c:1]([H:0])1[n:2]([CH2:14][O:15][CH3:13])[c:5]2[c:4]([n:3]1)[cH:7][cH:8][cH:9][cH:10]2
190,c1ccc(Cn2ccnc2)cc1,[c:1]([H:0])1[n:2]([CH2:15][c:16]2[cH:10][cH:11][cH:13][cH:17][cH:14]2)[cH:4][cH:5][n:3]1
191,CCCCn1ccnc1,[c:1]([H:0])1[n:2]([CH2:12][CH2:11][CH2:13][CH3:10])[cH:4][cH:5][n:3]1
192,Cn1cncc1-c1ccc2ccccc2c1,[c:1]([H:0])1[n:2]([CH3:17])[c:5](-[c:6]2[cH:7][cH:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[cH:15]2)[cH:4][n:3]1
193,Cc1ccc(-c2cncn2C)cc1,[c:1]([H:0])1[n:2][cH:5][c:4](-[c:15]2[cH:11][cH:12][c:17]([CH3:14])[cH:16][cH:18]2)[n:3]1[CH3:10]
194,Cn1cncc1-c1ccc(C(F)(F)F)cc1,[c:1]([H:0])1[n:2]([CH3:17])[c:5](-[c:6]2[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[cH:4][n:3]1
195,Cn1cncn1,[CH3:6][n:2]1[c:1]([H:0])[n:3][cH:4][n:5]1
196,Cn1cnc(-c2ccccc2)c1-c1ccccc1,[c:1]([H:0])1[n:2]([CH3:19])[c:5](-[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[c:4](-[c:20]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[n:3]1
197,Cn1cnc(-c2ccc(C#N)cc2)c1,[c:1]([H:0])1[n:2]([CH3:15])[cH:5][c:4](-[c:16]2[cH:6][cH:7][c:8]([C:9]#[N:10])[cH:11][cH:12]2)[n:3]1
198,CCOC(=O)c1cn(C)cn1,[c:1]([H:0])1[n:2]([CH3:8])[cH:5][c:4]([C:16](=[O:13])[O:14][CH2:15][CH3:12])[n:3]1
199,CCC(C)(C)OC(=O)c1cn(C)cn1,[c:1]([H:0])1[n:2]([CH3:11])[cH:5][c:4]([C:6](=[O:7])[O:17][C:18]([CH3:16])([CH2:19][CH3:15])[CH3:20])[n:3]1
200,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,[c:1]([H:0])1[n:2][cH:5][c:4]([CH2:8][C@H:7]2[CH2:6][O:18][C:21](=[O:17])[C@H:19]2[CH2:20][CH3:16])[n:3]1[CH3:14]
201,Cc1ncsc1C,[c:1]([H:0])1[n:2][c:4]([CH3:8])[c:5]([CH3:6])[s:3]1
202,Cc1cscn1,[c:1]([H:0])1[n:2][c:4]([CH3:7])[cH:5][s:3]1
203,c1cocn1,[c:1]([H:0])1[n:2][cH:4][cH:5][o:3]1
204,C[Si](C)(C)C[Mg]Cl,[Mg]([CH2:1][Si:2]([CH3:3])([CH3:5])[CH3:6])[Cl:4]
205,Cl[Mg]c1ccccc1,[Mg]([c:1]1[cH:2][cH:4][cH:4][cH:4][cH:3]1)[Cl:4]
206,CCCC[Mg]Br,[Mg]([CH2:1][CH2:2][CH2:3][CH3:4])[Br:4]
207,C=C[Mg]Br,[Mg]([CH:1]=[CH2:2])[Br:3]
208,CC1(C)COB(c2ccc3ccccc3c2)OC1,B1([c:1]2[cH:2][cH:6][c:6]3[cH:6][cH:6][cH:6][cH:6][c:6]3[cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
209,CC1(C)COB(B2OCC(C)(C)CO2)OC1,B1([B:1]2[O:2][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
210,CC(C)C[Al](CC(C)C)c1ccccc1,[Al]([c:1]1[cH:2][cH:4][cH:4][cH:4][cH:3]1)([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
211,[Li][Al](C)(C)(C)c1ccccc1,[Al]([c:1]1[cH:2][cH:7][cH:7][cH:7][cH:3]1)([CH3:4])([CH3:5])([CH3:6])[Li:8]
212,C[Al](C)c1ccccc1,[Al]([c:1]1[cH:2][cH:5][cH:5][cH:5][cH:3]1)([CH3:4])[CH3:6]
213,Cc1ccccc1[Al](CC(C)C)CC(C)C,[Al]([c:1]1[cH:2][cH:4][cH:4][cH:4][c:3]1[CH3:4])([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
214,Cc1ccc([Al](CC(C)C)CC(C)C)cc1C,[Al]([c:1]1[cH:2][cH:4][c:4]([CH3:4])[c:4]([CH3:4])[cH:3]1)([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
215,COc1ccc([Al](CC(C)C)CC(C)C)cc1,[Al]([c:1]1[cH:2][cH:4][c:4]([O:4][CH3:4])[cH:4][cH:3]1)([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
216,CC(C)C[Al](CC(C)C)c1ccc(C(F)(F)F)cc1,[Al]([c:1]1[cH:2][cH:4][c:4]([C:4]([F:4])([F:4])[F:4])[cH:4][cH:3]1)([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
217,Cc1cccc(C)c1[Al](CC(C)C)CC(C)C,[Al]([c:1]1[c:2]([CH3:4])[cH:4][cH:4][cH:4][c:3]1[CH3:4])([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
218,COc1cc(OC)cc([Al](CC(C)C)CC(C)C)c1,[Al]([c:1]1[cH:2][c:4]([O:4][CH3:4])[cH:4][c:4]([O:4][CH3:4])[cH:3]1)([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
219,CC(C)C[Al](CC(C)C)c1ccc(F)cc1,[Al]([c:1]1[cH:2][cH:4][c:4]([F:4])[cH:4][cH:3]1)([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
220,CC(C)C[Al](C#C[Si](C(C)C)(C(C)C)C(C)C)CC(C)C,[Al]([C:1]#[C:2][Si:3]([CH:4]([CH3:4])[CH3:4])([CH:4]([CH3:4])[CH3:4])[CH:4]([CH3:4])[CH3:4])([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
221,CC(C)=C[Al](CC(C)C)CC(C)C,[Al]([CH:1]=[C:2]([CH3:3])[CH3:5])([CH2:4][CH:4]([CH3:4])[CH3:4])[CH2:4][CH:4]([CH3:4])[CH3:4]
222,c1ccc([Al](c2ccccc2)c2ccccc2)cc1,[Al]([c:1]1[cH:2][cH:5][cH:5][cH:5][cH:3]1)([c:4]1[cH:5][cH:5][cH:5][cH:5][cH:5]1)[c:6]1[cH:5][cH:5][cH:5][cH:5][cH:5]1
223,CC(C)O[PH](=O)OC(C)C,[P:1]([H:0])([O:2][CH:12]([CH3:11])[CH3:13])(=[O:3])[O:4][CH:7]([CH3:8])[CH3:9]
224,CCCC[PH](=O)CCCC,[P:1]([H:0])([CH2:2][CH2:13][CH2:12][CH3:11])(=[O:3])[CH2:4][CH2:7][CH2:8][CH3:9]
225,CC(C)(C)[PH](=O)c1ccccc1,[P:1]([H:0])([C:2]([CH3:13])([CH3:15])[CH3:17])(=[O:3])[c:4]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
226,O=[PH](C1CCCCC1)C1CCCCC1,[P:1]([H:0])([CH:2]1[CH2:7][CH2:6][CH2:5][CH2:4][CH2:18]1)([CH:3]1[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]1)=[O:17]
227,CC1(C)COB(c2cccc(C(F)(F)F)c2)OC1,B1([c:1]2[cH:2][cH:6][cH:6][c:6]([C:6]([F:6])([F:6])[F:6])[cH:3]2)[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
228,CCCCB1OCC(C)(C)CO1,B1([CH2:1][CH2:2][CH2:3][CH3:6])[O:4][CH2:6][C:6]([CH3:6])([CH3:6])[CH2:6][O:5]1
0,Cc1ccc(Br)cc1,[CH3:7][c:4]1[cH:7][cH:3][c:1]([Br:0])[cH:2][cH:8]1
1,Cc1ccc([Zn]Br)cc1,[CH3:7][c:4]1[cH:7][cH:3][c:1]([Zn:0][Br:6])[cH:2][cH:8]1
0,C[Mg]Cl,[H:2][C:1]([H:3])([H:4])[Mg:0][Cl:5]
1,C=C[Mg]Cl,[H:3][C:2]([H:4])=[CH:1][Mg:0][Cl:5]
2,O=c1cc(-c2ccccc2)oc2cc(B3OB(c4ccc5oc(-c6ccccc6)cc(=O)c5c4)OB(c4ccc5oc(-c6ccccc6)cc(=O)c5c4)O3)ccc12,[O:54]=[c:14]1[cH:12][c:13](-[c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[o:10][c:11]2[cH:2][c:1]([B:0]3[O:15][B:16]([c:17]4[cH:18][cH:19][c:20]5[o:21][c:22](-[c:23]6[cH:24][cH:25][cH:26][cH:27][cH:28]6)[cH:29][c:30](=[O:31])[c:32]5[cH:33]4)[O:34][B:35]([c:36]4[cH:37][cH:38][c:39]5[o:40][c:41](-[c:42]6[cH:43][cH:44][cH:45][cH:46][cH:47]6)[cH:48][c:49](=[O:50])[c:51]5[cH:52]4)[O:53]3)[cH:3][cH:55][c:56]12
3,Nc1ccccc1,[H:0][NH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1
4,Cc1cccc(C)c1N,[CH3:9][c:3]1[cH:5][cH:7][cH:8][c:4]([CH3:6])[c:2]1[NH:1][H:0]
5,CCn1c2ccccc2c2cc(N)ccc21,[CH3:15][CH2:12][n:11]1[c:10]2[cH:13][cH:5][cH:6][cH:7][c:8]2[c:9]2[cH:3][c:2]([NH:1][H:0])[cH:4][cH:14][c:15]12
6,CNc1ccccc1,[CH3:3][N:1]([H:0])[c:2]1[cH:8][cH:4][cH:5][cH:6][cH:7]1
7,C[SiH](C)O[SiH](C)C,[CH3:4][Si:1]([H:0])([CH3:2])[O:3][SiH:7]([CH3:5])[CH3:6]
8,Cl[Zn]c1ccccc1,[Cl:8][Zn:0][c:1]1[cH:2][cH:4][cH:5][cH:6][cH:3]1
9,Cc1ccccc1[Zn]Cl,[CH3:9][c:3]1[cH:5][cH:6][cH:4][cH:2][c:1]1[Zn:0][Cl:8]
10,COc1ccccc1[Zn]Cl,[CH3:10][O:8][c:2]1[cH:7][cH:4][cH:5][cH:3][c:1]1[Zn:0][Cl:9]
11,COCc1ccc([Zn]Cl)cc1,[CH3:11][O:7][CH2:9][c:6]1[cH:4][cH:3][c:1]([Zn:0][Cl:8])[cH:2][cH:10]1
12,Fc1cccc([Zn]Cl)c1,[F:8][c:7]1[cH:5][cH:4][cH:2][c:1]([Zn:0][Cl:6])[cH:3]1
13,CC[Mg]Br,[H:3][CH2:2][CH2:1][Mg:0][Br:4]
14,CCC[Mg]Br,[CH3:4][CH2:2][CH2:1][Mg:0][Br:4]
15,CC(C)[Mg]Br,[CH3:3][CH:1]([CH3:2])[Mg:0][Br:4]
16,CC(C)C[Mg]Br,[CH3:4][CH:2]([CH3:3])[CH2:1][Mg:0][Br:5]
17,C[Si](C)(C)C[Mg]Br,[CH3:5][Si:2]([CH3:4])([CH3:3])[CH2:1][Mg:0][Br:6]
0,C[Mg]Br,[H:2][CH:1]([H:3])[Mg:0][Br:4]
